,class,sum
0,1,838937454.1737442
1,2,62703405825.64623
2,3,43967.0712890625
3,4,6063226.1025390625
4,5,13959650393.754278
5,6,35215.0712890625
6,7,4680635499.461458
7,8,11750131341.41055
8,9,5281796681.136323
9,10,22437778.51238511
10,11,48728556728.48602
