system:index,blue_mean,blue_median,blue_p25,blue_p75,blue_stdDev,evi_mean,evi_median,evi_p25,evi_p75,evi_stdDev,green_mean,green_median,green_p25,green_p75,green_stdDev,ndvi_mean,ndvi_median,ndvi_p25,ndvi_p75,ndvi_stdDev,ndwi_mean,ndwi_median,ndwi_p25,ndwi_p75,ndwi_stdDev,nir_mean,nir_median,nir_p25,nir_p75,nir_stdDev,red_mean,red_median,red_p25,red_p75,red_stdDev,stable_crop,swir1_mean,swir1_median,swir1_p25,swir1_p75,swir1_stdDev,swir2_mean,swir2_median,swir2_p25,swir2_p75,swir2_stdDev,thermal_mean,thermal_median,thermal_p25,thermal_p75,thermal_stdDev,x,y,.geo
00000000000000000000,0.07297032258064516,0.0750825,0.061634999999999995,0.08237,0.013876273986004054,0.323721210381761,0.2802373557090537,0.16889544066547335,0.4387679778060791,0.16246603358822537,0.1083601612903226,0.10582750000000002,0.09191250000000001,0.1254075,0.02199841243296328,0.430184362336275,0.4430187228673021,0.2719739962166627,0.5373922939359453,0.16270283126080112,-0.46830565390767215,-0.4749327275133442,-0.5731046305837557,-0.3593217680732602,0.10630890665827336,0.3197908064516129,0.34452750000000004,0.20007000000000003,0.43112500000000004,0.11331911335768646,0.12082387096774193,0.1169925,0.08748499999999998,0.15098250000000002,0.041260149141672184,1,0.31045943548387095,0.30770500000000006,0.2777025,0.354675,0.05869452994485482,0.21403024193548392,0.22438000000000002,0.17600749999999998,0.2499,0.04779386051540145,298.8810590696774,298.50761281999996,293.86594166,303.34752914,5.853410377158229,80.76046674115366,30.030556651726766,"{""type"":""Point"",""coordinates"":[80.760467,30.03055700000001]}"
00000000000000000001,0.06492496621621621,0.069616875,0.060975,0.07483500000000001,0.014317855686814693,0.3410246978800309,0.29960512894957353,0.2527328631455069,0.3527010220083274,0.14632455004945322,0.09206263513513512,0.094476875,0.08472125,0.10427375,0.015456288183371091,0.4771335709516658,0.42121087964101267,0.37369144993736747,0.48748568100805695,0.1641529936949894,-0.5302861021302249,-0.5132796583981802,-0.540101042823012,-0.47580987307113415,0.08198171757142032,0.3054169256756758,0.3018475,0.260879375,0.3287425,0.06032226239650576,0.10812783783783782,0.12059499999999998,0.09814125000000001,0.13228250000000003,0.03631788479245499,1,0.3250790540540541,0.34734166666666666,0.2908475,0.3781325,0.07355964203810461,0.2172820270270271,0.2384325,0.20965375,0.257875,0.06468330936507623,296.0080702213513,296.37818636,292.71748693999996,299.69708378,5.051839482756207,80.59762010992817,29.928070116122583,"{""type"":""Point"",""coordinates"":[80.59762,29.928070000000005]}"
00000000000000000002,0.07415411392405064,0.08073374999999999,0.058555000000000024,0.0925175,0.021230409968785748,0.28322037756977037,0.1936445521634454,0.16668145714740248,0.3339364444810998,0.17162121287180396,0.1069689240506329,0.11121750000000002,0.09070249999999999,0.12411499999999998,0.020181807968885447,0.3901793799489653,0.2791588939369198,0.24158884184929408,0.4922409780794861,0.19334565243672924,-0.45750004649696807,-0.4010582752704488,-0.5258764852574446,-0.36685067127607507,0.11880263790491545,0.29626952531645573,0.28037,0.26269666666666663,0.3121875,0.06603291382275528,0.12754379746835443,0.14080749999999997,0.10054750000000001,0.163935,0.04203955553859992,1,0.3346570886075949,0.34434875,0.27642374999999997,0.397465,0.0754166758206714,0.25267332278481014,0.2675,0.18673250000000002,0.32593750000000005,0.08337119035545197,302.22269769746833,302.591292215,299.77683757999995,305.79824948,5.107782267097296,81.87108523324754,29.96626725625508,"{""type"":""Point"",""coordinates"":[81.871085,29.96626699999999]}"
00000000000000000003,0.04747387499999999,0.046111250000000006,0.03977249999999999,0.055323750000000005,0.010551874795652493,0.2860574624512319,0.23539399431178992,0.14957453333754464,0.4084229669828048,0.16423823172495794,0.055201718749999996,0.051996249999999994,0.04637249999999999,0.0638625,0.01197580903186807,0.520743537019171,0.4928136148662769,0.36174198097801846,0.6751878320910707,0.16826498337739287,-0.5001454604386979,-0.4768914446539462,-0.625290949116696,-0.3780306547961084,0.12582685137736213,0.18493262500000007,0.16541999999999998,0.11623625000000001,0.257875,0.08390726266698016,0.050416031250000014,0.0505525,0.042366666666666664,0.05796375000000001,0.011228553792214144,1,0.17331043749999997,0.168995,0.14927979166666666,0.19983625000000002,0.03170202211801489,0.12290362500000007,0.12321666666666668,0.103139375,0.141446875,0.027204384173614513,295.20170387599995,294.39231673999996,288.888450035,301.5120524,7.332463945707557,81.84888613639478,29.94218301982773,"{""type"":""Point"",""coordinates"":[81.848886,29.942183]}"
00000000000000000004,0.04128500000000001,0.038644999999999985,0.030560000000000004,0.05060749999999997,0.013483298065224423,0.2590098483157732,0.1956895205372482,0.14230072960667078,0.2981495750577898,0.16837523817193645,0.06377568627450976,0.06122250000000001,0.053192499999999976,0.07233250000000002,0.01748772376188993,0.47286856298293417,0.3772035955859066,0.3237329787612929,0.5859339398133302,0.19116126948438641,-0.5039052285312033,-0.4462000024591473,-0.6025853235595491,-0.4183782698869339,0.11331449492632353,0.20297691176470584,0.1872275,0.15244000000000002,0.22809250000000003,0.07367499713498656,0.06843882352941179,0.06798749999999998,0.05107499999999998,0.08784249999999999,0.027961556159853105,1,0.18743833333333335,0.1807375,0.157995,0.20906249999999998,0.04426053046757619,0.13257583333333334,0.1307975,0.097385,0.169875,0.04896159560094881,293.89757510000004,293.86935968,288.65346116,299.03056988000003,6.7005033949223956,80.5837780144959,29.87621444311198,"{""type"":""Point"",""coordinates"":[80.58377800000001,29.876214000000004]}"
00000000000000000005,0.056708064516129024,0.05332999999999999,0.04857249999999999,0.06597999999999998,0.01297540099826323,0.2804069710707688,0.21391116454397516,0.14349724284741186,0.3696790539526748,0.17096925102914723,0.07496274193548387,0.07144333333333334,0.06228124999999999,0.08644000000000002,0.015365839853951152,0.44356107623811575,0.3889594367185967,0.2870540919860501,0.5536114329857089,0.1735206851806022,-0.47618748886548123,-0.45629640720600545,-0.5518865659857994,-0.3805590338086197,0.1105298549563748,0.22621717741935488,0.193525,0.15938375000000002,0.28433,0.08681383302716811,0.0797835215053763,0.07702124999999999,0.06518249999999998,0.09598250000000003,0.020912524297129646,1,0.24239043010752698,0.23940875,0.21163374999999998,0.27256,0.041668733752419446,0.17700873655913976,0.17152499999999998,0.14914,0.21147333333333332,0.04541954591833707,298.74470579870973,297.90775031,292.7448311,305.83072067,8.327578941302411,81.86622990481807,29.93114395293358,"{""type"":""Point"",""coordinates"":[81.86623,29.931144000000003]}"
00000000000000000006,0.05293381355932206,0.05462250000000002,0.04497000000000001,0.06034250000000002,0.00941457218120221,0.3195160165598927,0.28067291036669506,0.24875170706725847,0.3252393298763462,0.13701236085699553,0.07388228813559322,0.07502750000000002,0.06518249999999998,0.08099499999999998,0.009582083909702135,0.5034490943690905,0.4687843533974036,0.43196453077166685,0.5079178699501762,0.1523040946454457,-0.5365445208792511,-0.5283761836178104,-0.5542040192914984,-0.5066351844103054,0.07086011273031088,0.25107644067796614,0.24484,0.22553499999999999,0.27470500000000003,0.05260911624134752,0.08128771186440677,0.08679749999999997,0.06963750000000002,0.09845749999999998,0.02566139300900751,1,0.2515793644067797,0.26304500000000003,0.20997,0.2862,0.04639786479506273,0.16688775423728822,0.18170000000000003,0.14922249999999998,0.19784249999999998,0.04409352060402266,297.1241257755932,297.94363952000003,293.49337748,300.22687687999996,4.66837010109239,80.56449108117694,29.863183362629993,"{""type"":""Point"",""coordinates"":[80.56449100000002,29.863182999999996]}"
00000000000000000007,0.05810371794871793,0.0627625,0.04827000000000001,0.06944499999999998,0.015270398210176853,0.3082710472946732,0.20938090263673861,0.1312821547197435,0.5052260998862941,0.19994462034363822,0.07503666666666665,0.07484874999999999,0.06683250000000002,0.08127916666666668,0.012429996619960366,0.4679252335210734,0.3390096828736326,0.2654874967325956,0.7196232044915639,0.2331005402344084,-0.47544952232356136,-0.426319510704143,-0.6403462845036467,-0.33043398380514966,0.15423121259660233,0.2337867628205128,0.2169275,0.15327416666666668,0.3094375,0.08711721787533155,0.0759653205128205,0.07985375,0.052505000000000024,0.0959825,0.02912975332445213,1,0.22259637820512823,0.22741875,0.18282749999999998,0.249075,0.047955074710486566,0.16679464743589745,0.1871175,0.10307749999999999,0.21958125,0.05921945297529351,292.7601683692308,293.93772007999996,287.66223535999995,299.25615919999996,7.104914783185687,81.8772488142732,29.915769834167754,"{""type"":""Point"",""coordinates"":[81.877249,29.915770000000002]}"
00000000000000000008,0.07290568627450979,0.07794250000000003,0.053398749999999995,0.090015,0.019961255867393238,0.38839895970458455,0.3186662585078027,0.21302588003149633,0.5148728535235056,0.2119305672759881,0.10281274509803918,0.10512625,0.08842,0.11671749999999997,0.0164620551631076,0.48253451881392,0.440257961948021,0.2965561711949502,0.6677397942250248,0.20031663913457146,-0.5262438230947117,-0.5175032875345756,-0.6390805155126635,-0.40987350030809394,0.11551218808887057,0.34603622549019586,0.3234854166666667,0.284275,0.37447500000000006,0.08835565037735024,0.11602245098039216,0.12658999999999998,0.07479374999999999,0.15486,0.04245147684008724,1,0.3544053921568626,0.36029875000000006,0.29482125000000003,0.4076125,0.06711803294628273,0.23145774509803918,0.2425025,0.15942499999999998,0.2991745,0.07452579919443363,303.4849424800001,302.44346285,299.058597644,307.54827572,6.6828206194129915,81.86369682813141,29.892896980126103,"{""type"":""Point"",""coordinates"":[81.863697,29.892897]}"
00000000000000000009,0.07248201851851853,0.072855,0.05246375,0.0915275,0.02454047014720691,0.2603213936715466,0.18125923679022984,0.14355427321231828,0.36535710351040807,0.16134656037364045,0.10330116666666667,0.0984025,0.08284666666666668,0.12186,0.024321681766747955,0.37872211654430027,0.2725503589975013,0.22013912797004706,0.540302976022928,0.20440680080427073,-0.42809356738138327,-0.37425554743504025,-0.5488609578775195,-0.30977357662853694,0.13665732151962676,0.2649068518518519,0.241175625,0.21963349999999998,0.305835,0.061699804175331774,0.11710677777777775,0.126865,0.08736125,0.146775,0.03971427823385209,1,0.28628168518518526,0.29361583333333335,0.23279500000000003,0.33854625,0.06345222188549714,0.2191541851851852,0.23056749999999998,0.1532925,0.28615875,0.07751898944167349,298.81012024933347,298.03592606,292.69526981,305.94864236,8.098214857152827,81.86640221434511,29.8746907292431,"{""type"":""Point"",""coordinates"":[81.866402,29.874691]}"
