system:index,blue_mean,blue_median,blue_p25,blue_p75,blue_stdDev,eastness,elev,evi_mean,evi_median,evi_p25,evi_p75,evi_stdDev,green_mean,green_median,green_p25,green_p75,green_stdDev,msavi_mean,msavi_median,msavi_p25,msavi_p75,msavi_stdDev,ndmi_mean,ndmi_median,ndmi_p25,ndmi_p75,ndmi_stdDev,ndvi_mean,ndvi_mean_asm,ndvi_mean_contrast,ndvi_mean_corr,ndvi_mean_dent,ndvi_mean_diss,ndvi_mean_dvar,ndvi_mean_ent,ndvi_mean_idm,ndvi_mean_imcorr1,ndvi_mean_imcorr2,ndvi_mean_inertia,ndvi_mean_maxcorr,ndvi_mean_prom,ndvi_mean_savg,ndvi_mean_sent,ndvi_mean_shade,ndvi_mean_svar,ndvi_mean_var,ndvi_median,ndvi_p25,ndvi_p75,ndvi_stdDev,nir_mean,nir_median,nir_p25,nir_p75,nir_stdDev,northness,red_mean,red_median,red_p25,red_p75,red_stdDev,slope,stable_crop,swir1_mean,swir1_median,swir1_p25,swir1_p75,swir1_stdDev,swir2_mean,swir2_median,swir2_p25,swir2_p75,swir2_stdDev,thermal_mean,thermal_median,thermal_p25,thermal_p75,thermal_stdDev,x,y,.geo
00000000000000000000,0.057633750000000004,0.05821124999999999,0.04688125,0.06812499999999999,0.015420175957572585,-0.24191912057219964,2163,0.30671371601695385,0.29419721939000953,0.17235233257715957,0.4350922052987951,0.1696492129186894,0.09087895833333333,0.09415375000000001,0.08018375,0.10575874999999998,0.023771773592819342,0.27960396966454115,0.2686675494910924,0.1564251189110617,0.40631731163993595,0.15941756949249836,0.006086049587667768,0.032537139643032946,-0.08769800122123407,0.10702435639806922,0.14839779047490176,0.4440705040227762,0.3645833333333333,0.4583333333333333,-0.18750000000000178,0.6789889274936621,0.4583333333333333,0.24305555555555555,1.0904039093534383,0.7708333333333333,-0.1253080009024152,0.3573516940686824,0.4583333333333333,0.0,0.2042824074074071,29.458333333333332,0.7727114515967969,-0.06481481481481433,0.32638888888891415,0.19618055555555713,0.4283579267951376,0.2925735333068745,0.5754421502258297,0.17056996440497904,0.2821575,0.32826125,0.18916624999999998,0.38375625,0.11511178335508278,-0.9702964181638379,0.09831713541666669,0.09436,0.07267625,0.12381249999999999,0.035088612238893827,38,1,0.26422807291666667,0.2816075,0.241375,0.31437375,0.07622789524408807,0.1731188541666667,0.18523375,0.1536775,0.20728875000000002,0.05399371666510894,300.68410826375003,302.90318654,293.49166847000004,306.87663479,8.704307775973678,80.76046674115366,30.030556651726766,"{""type"":""Point"",""coordinates"":[80.760467,30.03055700000001]}"
00000000000000000001,0.06368523648648648,0.06534979166666667,0.05456749999999999,0.07585250000000002,0.01637929501218242,-0.7771438183394841,1951,0.2849573034554577,0.2368803586935307,0.2004882785369132,0.28780932186231606,0.14373184075927484,0.09336368243243244,0.09393375000000001,0.0811325,0.10527750000000001,0.016296132781084702,0.2608516583328085,0.21805820684357452,0.18980351001580176,0.2623581342831679,0.13490378267848052,-0.06590067324389257,-0.12148525720629197,-0.1696688301428063,-0.06433078174416378,0.16097800549623595,0.42076063385770057,0.34982638888888884,0.5625,-0.13333333333334751,0.45884087030210846,0.5625,0.1579861111111111,1.1413693610623414,0.71875,-0.3324652289218366,0.4912778396651059,0.5625,0.0,0.4423828125,27.0625,0.7514740719973722,-0.07031249999999738,0.4218750000000284,0.2460937500000071,0.35765407460357623,0.3143939553928411,0.43555505737624534,0.16847002382177814,0.28304418918918917,0.27671250000000003,0.2393125,0.31287499999999996,0.06655246829126771,-0.629323037570314,0.11408121621621624,0.12300124999999998,0.091445,0.1402025,0.03489673692986047,26,1,0.3254815202702702,0.33508125,0.27514500000000003,0.38944875,0.07311333928258462,0.22756219594594596,0.25301666666666667,0.18205749999999998,0.2811125,0.06712628335371995,300.22780066918915,300.28156520000005,297.21047423,303.47057786,5.328269526628517,80.59762010992817,29.928070116122583,"{""type"":""Point"",""coordinates"":[80.59762,29.928070000000005]}"
00000000000000000002,0.07781511494252875,0.08260833333333333,0.06479062500000002,0.09325083333333334,0.027202163511372213,-0.08715302582491517,2879,0.250495313660117,0.18924875855292866,0.1356896251485084,0.30296287140143374,0.15639002445141292,0.11519646551724139,0.11868375,0.10076750000000001,0.13230083333333334,0.027218668583819723,0.23106420382326195,0.16881329699580194,0.13227439458648127,0.2720280471355229,0.1457892445232446,-0.04926452627392178,-0.11533462349441087,-0.1930159399399066,0.04644036356891109,0.1857491238401114,0.3562600217975507,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.27221774923387076,0.21013181242402368,0.4762559974905002,0.2025192894746329,0.2958433333333333,0.2879325,0.25925,0.31812749999999995,0.05741459207002264,-0.9961949357879519,0.1424129310344828,0.15363625,0.11314249999999998,0.18108583333333336,0.0494489888283916,32,1,0.3359045114942529,0.350055,0.2756675,0.40945499999999996,0.08935099496117321,0.25727568965517256,0.2685725,0.19787,0.34322125,0.09254259477714866,302.7413216848277,302.82799009999997,299.79449735000003,306.86296271,6.326455049231561,81.87108523324754,29.96626725625508,"{""type"":""Point"",""coordinates"":[81.871085,29.966267]}"
00000000000000000003,0.044586580459770105,0.042866249999999995,0.034135,0.052092499999999986,0.013955195166781153,0.24192169534001978,2111,0.2784634893245463,0.20076205492050986,0.11489088311266063,0.43057473706576027,0.18286437189006116,0.056489971264367805,0.0539075,0.04609749999999999,0.06464625,0.014458792588490602,0.2368711605744176,0.16253485135379564,0.08370481032016687,0.3691083796656022,0.1644526807739539,0.01948489291109158,-0.03206959459855813,-0.1617023100330003,0.20851748348360907,0.1978602947765874,0.49929028291727395,0.11458333333333334,5.854166666666667,0.32298004446613254,1.0506217738350128,2.0625,0.6996527777777783,2.195530698163925,0.3043646304675717,-0.6972617427299459,0.9497015696166234,5.854166666666667,0.0,232.5436559606483,28.687499999999996,1.5312646501273106,16.2630208333334,10.137152777777914,3.9978298611111427,0.4655310898767485,0.3344227692098186,0.6743404444805436,0.19737450294061398,0.19129086206896548,0.16014,0.1004925,0.2698375,0.09360830159072105,0.9702957762063126,0.05414109195402298,0.05232625000000002,0.042091666666666666,0.06526500000000002,0.017308342914323722,28,1,0.1659077298850574,0.15469500000000003,0.138195,0.194405,0.03629992755255513,0.11023603448275864,0.11020000000000002,0.08644000000000002,0.12846000000000002,0.027078682266109624,295.639501164138,294.5905619,288.3868556,302.21958254000003,8.592980283241952,81.84888613639478,29.94218301982773,"{""type"":""Point"",""coordinates"":[81.848886,29.942183]}"
00000000000000000004,0.04716777027027029,0.04608374999999999,0.03773750000000001,0.053605000000000014,0.01602379784022037,-0.9455199626692458,1884,0.21100610167344983,0.14379845463676788,0.12272853730711626,0.23642574524525792,0.151012233315738,0.06988128378378379,0.06497625,0.05453083333333333,0.07995000000000002,0.021207609699414712,0.18867521682564561,0.12642563750039468,0.1064116630073274,0.20202646697369236,0.137273422859116,-0.023217079923587826,-0.10520576377701525,-0.13875985018826817,0.03433907660976988,0.17756922847231146,0.3906788638792812,0.23524305555555552,0.6875,0.19874856833375315,0.3658643905878544,0.6875,0.11631944444444446,1.4950220778754557,0.65625,-0.4843052708709068,0.7625999258914868,0.6875,0.0,2.5940031828703702,24.145833333333336,1.0184833912404934,-0.10734953703703178,1.1579861111111143,0.4613715277777857,0.3139740196228851,0.25944255555447315,0.4125894180780862,0.19713233527442064,0.19338304054054054,0.16750541666666668,0.14337875,0.23694749999999998,0.065643844491622,0.32556412608570406,0.08201956081081083,0.07671416666666665,0.06369750000000002,0.103545,0.03381126838032208,22,1,0.19875297297297292,0.1864941666666667,0.1653925,0.2256725,0.055365193965313975,0.14784749999999994,0.14258125000000002,0.11110750000000003,0.18834125000000002,0.05982258111688682,294.3095914181081,293.72922086,288.36634748,297.63715706,8.314999999621579,80.5837780144959,29.87621444311198,"{""type"":""Point"",""coordinates"":[80.58377800000001,29.876214000000004]}"
00000000000000000005,0.06029697222222222,0.056069,0.04931958333333333,0.06906000000000001,0.017859091415292825,0.8290371109067561,2146,0.24072288807031225,0.18383713285624514,0.13474454423395144,0.3133724749548366,0.14980958500331956,0.08012294444444441,0.07400083333333331,0.066101,0.09248999999999999,0.018878329826144475,0.2082714342206836,0.15736677321863923,0.11157091858218832,0.2610620976198601,0.13407865513108416,-0.08186292301209153,-0.11376773690099391,-0.1892041896026988,-0.03695559360920584,0.14733950806119508,0.38902246387546835,0.37673611111111105,0.5833333333333333,-0.28611111111110765,0.5529364165996835,0.5833333333333333,0.1840277777777778,1.0615227768301074,0.7083333333333333,-0.3135405532298379,0.5689946269742476,0.5833333333333333,0.0,0.28349247685185197,23.333333333333332,0.6571869215034727,-0.05960648148148129,0.2951388888888573,0.21961805555555713,0.35101512206626817,0.26737634737501514,0.4553168580914896,0.16711933791819966,0.2200093333333334,0.19215916666666666,0.159486875,0.26739,0.07496915535071717,0.5591935878918668,0.09139947222222222,0.089355,0.07874916666666665,0.10597875000000001,0.025122707964814143,37,1,0.25021288888888893,0.23539375,0.22166666666666668,0.27443,0.04462523584268684,0.18305605555555554,0.178235,0.16183124999999998,0.20766,0.04384757057120647,298.9365363520001,297.3249779,290.93669852,306.8612537,10.005419244536554,81.86622990481807,29.93114395293358,"{""type"":""Point"",""coordinates"":[81.86623,29.931144000000003]}"
00000000000000000006,0.050854303797468324,0.05257833333333334,0.04252249999999999,0.059448749999999995,0.012766316005687674,-0.5150354086055935,1129,0.29152064501211417,0.21933751119068945,0.1826776153722492,0.37534126669862244,0.16047225374256724,0.07571674050632914,0.07468375,0.068035625,0.08476250000000002,0.012020698475056532,0.2651317296337423,0.20487827811361814,0.1622060422017816,0.3357624620979522,0.1477699359692247,5.391632037352117E-4,-0.0799070523251437,-0.10729055822588669,0.13034467222347376,0.16214673325515386,0.4626996881047161,0.7526041666666665,0.14583333333333331,0.168831168831167,0.3658643905878544,0.14583333333333331,0.11631944444444445,0.46694835441951316,0.9270833333333333,0.2248865539330755,0.10826102796828818,0.14583333333333331,0.0,0.06101707175925902,27.854166666666664,0.3658643905878544,-0.06973379629629603,0.11631944444445708,0.06553819444444287,0.3729949289390644,0.32442672890680635,0.646454801290411,0.18531434337964828,0.25039848101265827,0.231475,0.2002625,0.28224,0.0662195673825965,-0.857168902773817,0.08837161392405066,0.09254499999999999,0.06570500000000001,0.10978750000000001,0.029743199927653837,54,1,0.24662575949367097,0.24423499999999998,0.20622083333333333,0.28587,0.050104906448513245,0.1605751265822785,0.16768416666666666,0.120815,0.196825,0.049805458534439295,300.66061929139227,300.38239679,296.82509247499996,302.93053069999996,5.119992921738406,80.56449108117694,29.863183362629993,"{""type"":""Point"",""coordinates"":[80.56449100000002,29.863182999999996]}"
00000000000000000007,0.057436202531645573,0.059166874999999994,0.04629,0.0668765,0.020203106681850266,-0.9925456791233193,2104,0.2915014589701742,0.2548519199952519,0.12315649048701166,0.4482484076433123,0.1897001074582443,0.0755482594936709,0.07578375,0.06695166666666667,0.08365333333333332,0.01660839850814778,0.253252609875259,0.21610248990592396,0.0998272450258068,0.38643711577584705,0.17351144740026433,0.016564056258557464,-0.028379398958898266,-0.24144581823330377,0.26557451575717234,0.25226149151100485,0.45276150159672973,0.19010416666666669,1.5625,0.04453654392108759,0.9389191202036418,0.9375000000000001,0.5954861111111109,1.8056354090989557,0.59375,-0.4362770382131001,0.7774179131584129,1.5625,0.0,5.313331886574078,27.645833333333332,1.2424533248940002,-0.4945023148148,1.5815972222222285,0.7860243055555856,0.41237753002242084,0.2356717567256633,0.6655238602447603,0.2353206241969836,0.23051006329113927,0.21584125,0.15563,0.292635,0.07977617582305949,-0.12187319169378041,0.07938085443037973,0.08865375,0.061318750000000005,0.10052,0.029708597293486173,8,1,0.2148608227848101,0.22315166666666666,0.17619083333333332,0.25351166666666664,0.048764884290125855,0.15554889240506325,0.152935,0.09232499999999999,0.2175765,0.061150912363360156,293.7350185141772,294.38718971,289.40200754,298.72123907,7.322039589300152,81.8772488142732,29.915769834167754,"{""type"":""Point"",""coordinates"":[81.877249,29.915770000000002]}"
00000000000000000008,0.0734266262135922,0.07109500000000002,0.0552275,0.08699000000000001,0.024509781115975116,0.8090180861922142,2114,0.36786883917544433,0.3152602124851905,0.21789301755683113,0.45958350519082763,0.19793359231592014,0.1041564077669903,0.1000305,0.08961166666666666,0.11488874999999998,0.020956282076148032,0.3278837576721645,0.28352758641760273,0.19251200431349585,0.422651781615641,0.17248149208804844,-0.016637074226483146,-0.05081211315581771,-0.16700153467699308,0.10311969236877512,0.1703578292075339,0.46787327606736623,0.24739583333333331,0.8333333333333333,-0.12936030617824062,0.790691581125033,0.625,0.4270833333333333,1.5130022074036922,0.7083333333333333,-0.2652979909635537,0.5964944367160081,0.8333333333333333,0.0,1.0728443287037044,29.08333333333333,0.9857803822552089,-0.005787037037033538,0.7048611111111427,0.3845486111111214,0.4587650565563994,0.31107909312570853,0.6240587751120324,0.19833839208808623,0.3385426456310679,0.32103333333333334,0.2861175,0.36828750000000005,0.07880090032769027,-0.5877837495319916,0.11952864077669902,0.12054000000000001,0.09112874999999998,0.1565375,0.043786939173752704,43,1,0.34757225728155344,0.34687875,0.2992625,0.404395,0.06557076959981437,0.22792242718446587,0.23337249999999998,0.17158,0.28996750000000004,0.069528661198742,304.780542321165,302.86832273600004,299.644446272,307.93963900999995,8.419045693238905,81.86369682813141,29.892896980126103,"{""type"":""Point"",""coordinates"":[81.863697,29.892897]}"
00000000000000000009,0.07352222222222222,0.07293749999999999,0.05784,0.09409875000000001,0.024309154266918456,0.9743698094321503,2116,0.2690609165369981,0.20934483396383868,0.1434691758495549,0.33476900678550686,0.17196948501938514,0.10594388888888885,0.10375125,0.089025,0.12179124999999999,0.023461575238127745,0.2419282093252301,0.1860192355622477,0.12618444838920462,0.2926077309990456,0.16016855885410808,-0.030219521483467036,-0.10740261941032085,-0.17206064475601268,0.08766607409110594,0.17985041852176376,0.379304649176481,0.11545138888888891,3.875,0.057232511874460615,1.0114042647073518,1.6666666666666667,1.0277777777777777,2.2099712644255907,0.3786764705882353,-0.6690767209260851,0.94079845693597,3.875,0.0,53.509837962962976,27.458333333333332,1.5890269151739727,-1.8981481481481395,5.076388888888999,2.2378472222222356,0.30198155115351033,0.22471654361031682,0.494455733184251,0.2056263983646709,0.27760749999999995,0.256555,0.22400875,0.31843000000000005,0.06718379288480918,0.2249521603967275,0.12155583333333334,0.12737375,0.0993925,0.14813625,0.03961491710131987,33,1,0.29228472222222224,0.2978325,0.24654500000000001,0.33795500000000006,0.05639849843406539,0.21867027777777773,0.22946750000000002,0.15961750000000002,0.2832575,0.07476284009419798,299.9612725581817,297.7009601,292.88326091,304.67713892,9.961306173420176,81.86640221434511,29.8746907292431,"{""type"":""Point"",""coordinates"":[81.866402,29.874691]}"
