system:index,blue_mean,blue_median,blue_p25,blue_p75,blue_stdDev,evi_mean,evi_median,evi_p25,evi_p75,evi_stdDev,green_mean,green_median,green_p25,green_p75,green_stdDev,ndvi_mean,ndvi_median,ndvi_p25,ndvi_p75,ndvi_stdDev,ndwi_mean,ndwi_median,ndwi_p25,ndwi_p75,ndwi_stdDev,nir_mean,nir_median,nir_p25,nir_p75,nir_stdDev,red_mean,red_median,red_p25,red_p75,red_stdDev,stable_crop,swir1_mean,swir1_median,swir1_p25,swir1_p75,swir1_stdDev,swir2_mean,swir2_median,swir2_p25,swir2_p75,swir2_stdDev,thermal_mean,thermal_median,thermal_p25,thermal_p75,thermal_stdDev,x,y,.geo
00000000000000000000,0.07163052631578946,0.07244249999999999,0.05998500000000001,0.08237,0.019385110911520204,0.327106632637091,0.3007900770953957,0.1744491266902198,0.4387679778060791,0.17476392084468614,0.10702592105263158,0.10750500000000002,0.08891500000000002,0.12958750000000002,0.031392350488892176,0.43495056632778023,0.44905273480394153,0.2719739962166627,0.5373922939359453,0.1741299451126676,-0.4640139992178304,-0.49135061267937297,-0.5731046305837557,-0.38434741338395817,0.13487367230411768,0.3186782236842105,0.36133,0.20218750000000002,0.41709999999999997,0.11846192740167492,0.11971427631578946,0.1167175,0.07736500000000002,0.15345750000000002,0.05474696522143071,1,0.29947236842105257,0.30722375,0.246765,0.3646575,0.08829791108303432,0.20090875000000005,0.21650125,0.164595,0.2427225,0.06350537376958834,298.0132591905263,298.49052271999994,293.76681908,301.57357676000004,6.619994750721449,80.76046674115366,30.030556651726766,"{""type"":""Point"",""coordinates"":[80.760467,30.03055700000001]}"
00000000000000000001,0.06555550531914893,0.06974749999999998,0.06114,0.07509625000000002,0.014237287361252828,0.3331368613242084,0.28970947074115105,0.2360229768435623,0.33885631361702395,0.14995639488192944,0.09276295212765953,0.094734,0.08472125,0.1043425,0.014835506798324816,0.4642804488178371,0.4140426023714606,0.35655541953715186,0.47454927271825337,0.16316061464436726,-0.5276019831393627,-0.510285232043815,-0.5338838321080756,-0.47572540444493794,0.08122325609881627,0.30635779255319145,0.302755,0.260879375,0.330695,0.06228549839958858,0.11138103723404252,0.12148874999999998,0.09997,0.1359125,0.03586914793326888,1,0.3286658510638298,0.3488908333333333,0.2908475,0.38235375,0.07097354967074808,0.21991680851063836,0.24057062499999998,0.20945666666666665,0.262254375,0.06242966480283348,295.958460776383,296.56275944000004,292.46797147999996,299.5979612,4.778765411400413,80.59762010992817,29.928070116122583,"{""type"":""Point"",""coordinates"":[80.59762,29.928070000000005]}"
00000000000000000002,0.0825527336448598,0.0889315,0.06532,0.09645785714285715,0.03285167817896654,0.2598018107863985,0.18922160047354436,0.16214569259994227,0.29884121593799357,0.1552854151941579,0.11650392523364485,0.12005050000000002,0.097165,0.12993812500000002,0.033779185491112855,0.35662071797170153,0.26849129884342204,0.23185495362209874,0.43626603760450705,0.18208804055661576,-0.4338453184792811,-0.39064812074578287,-0.4983669098942053,-0.35029167561498636,0.11904868229409032,0.29841436915887853,0.28745950000000003,0.26458499999999996,0.315185,0.05992214847169794,0.14127499999999998,0.155443,0.11589250000000001,0.1707825,0.04808152742779415,1,0.34794495327102826,0.37081749999999997,0.30982250000000006,0.40946875,0.07711865310074126,0.2674897196261682,0.3059175,0.2194575,0.33675600000000006,0.08347008613275891,302.12234466261674,302.17742696,298.84257878,305.56810279999996,5.891900998840078,81.87108523324754,29.96626725625508,"{""type"":""Point"",""coordinates"":[81.871085,29.96626699999999]}"
00000000000000000003,0.04952300531914893,0.04776124999999999,0.04069375,0.05696000000000001,0.011185069096290905,0.25860667887186106,0.18913452103429695,0.13522485074659124,0.3692726578332346,0.15027610114082496,0.05630877659574466,0.05260583333333335,0.047188333333333325,0.06327125,0.013231938772887846,0.48479157836060394,0.440536467536787,0.3449741848220287,0.6043252269670079,0.15969205080423457,-0.47830612798888356,-0.4562113004338983,-0.5744660888737729,-0.37351248227376804,0.1185009754347851,0.17507015957446806,0.146644375,0.1082255,0.23338625,0.07771212096441829,0.05411989361702127,0.05289687500000001,0.044997499999999996,0.05978699999999999,0.013950534187299924,1,0.1776890957446809,0.16830750000000003,0.15392499999999998,0.198695,0.03641368102519503,0.12958515957446817,0.12746083333333333,0.10808250000000001,0.14266375,0.03038064942168006,294.5788533634042,293.603608625,287.628909665,300.5720969,7.790956135372292,81.84888613639478,29.94218301982773,"{""type"":""Point"",""coordinates"":[81.848886,29.942183]}"
00000000000000000004,0.04160103846153847,0.0360765,0.030416999999999993,0.04386450000000001,0.036106561234906596,0.265992532441247,0.18431277994676948,0.13921833661282051,0.27803158364985875,0.1834299047378511,0.06229076923076921,0.0574275,0.050112500000000004,0.06389,0.03531357529043051,0.4876027351605497,0.42750218402474444,0.33475272500057845,0.5708151873888241,0.1939993595262545,-0.5137844937964835,-0.4725920575246664,-0.6025853235595491,-0.4242343705483152,0.11781080956729324,0.201753,0.17394500000000002,0.14342,0.2206125,0.09283365215037562,0.06526330769230769,0.06120416666666667,0.05016749999999999,0.07533000000000001,0.03867683257084291,1,0.17665734615384615,0.17119499999999999,0.15705083333333333,0.19143500000000002,0.04539587713801978,0.12147796153846149,0.12249249999999998,0.09339750000000002,0.14685749999999997,0.04562759949368605,291.9983881169231,291.59637638000004,287.40246584,296.66871806,6.327603543199845,80.5837780144959,29.87621444311198,"{""type"":""Point"",""coordinates"":[80.58377800000001,29.876214000000004]}"
00000000000000000005,0.05697482608695652,0.05290375,0.045217499999999994,0.06705250000000001,0.014538051409116053,0.2775646600706365,0.21328608873287244,0.13899286782563966,0.373316285569861,0.1651989420946433,0.07525563043478259,0.06866583333333333,0.06178624999999999,0.08774625,0.016832170388366093,0.44082929229335577,0.4077004442563995,0.28787261317337026,0.5320916716201043,0.16984925968513354,-0.4753193170160121,-0.46250353412134887,-0.538726568430888,-0.37742080754554214,0.1086154333208155,0.22588054347826095,0.193525,0.15554749999999998,0.30367625,0.08643932682673398,0.08053371739130438,0.07621,0.06518249999999998,0.09859499999999999,0.021703286415548816,1,0.24321702173913046,0.22394000000000003,0.20906249999999998,0.277015,0.04562101510161403,0.17886845652173905,0.16962749999999996,0.14587666666666668,0.2188525,0.048065217143846165,298.74776587739126,297.38992027999996,291.07227998,305.87686394,8.845579181831756,81.86622990481807,29.93114395293358,"{""type"":""Point"",""coordinates"":[81.86623,29.931144000000003]}"
00000000000000000006,0.05528544642857144,0.05617625000000001,0.05034625000000001,0.06137833333333333,0.009235881504586959,0.2879464881360965,0.26725741529582137,0.2154286420650472,0.30714649174590897,0.13548177057223454,0.0752239285714286,0.07623291666666665,0.06632374999999999,0.08229666666666666,0.009826482033243586,0.459696297590754,0.43867054289980295,0.3687373434036514,0.48035830189410106,0.14937167421004122,-0.5112785278747763,-0.5129707609218309,-0.5392830577364005,-0.4691150118296815,0.07985361652732552,0.24071696428571437,0.24277749999999998,0.196,0.2731741666666667,0.05807821717032324,0.08631592261904762,0.088866875,0.07695250000000001,0.100465,0.02412867558288055,1,0.25360660714285715,0.26554750000000005,0.2141225,0.28708687499999996,0.04488185854479495,0.17439645833333342,0.1886575,0.16135,0.19988666666666666,0.039984853918554046,297.93305993428567,298.00345487,294.51023843,301.36336853,4.68992171812711,80.56449108117694,29.863183362629993,"{""type"":""Point"",""coordinates"":[80.56449100000002,29.863182999999996]}"
00000000000000000007,0.05938370786516851,0.06496249999999998,0.050937500000000024,0.06994,0.015213970452380217,0.2941798443738119,0.20422495567651403,0.13134028668467992,0.4657474882251644,0.19867287875444764,0.07610432584269664,0.07740625,0.06845499999999999,0.08128375000000002,0.012850688832825124,0.4490513670571844,0.32969109533099655,0.2552434617867441,0.6466862440260263,0.22965872332048692,-0.4643543830135538,-0.41749160367754923,-0.5833511964184005,-0.3310521880578985,0.15138845038668125,0.22956112359550562,0.21398499999999998,0.15332,0.29823125,0.0871698424369295,0.07858488764044942,0.08579375,0.05781249999999999,0.09534999999999999,0.02905673360555962,1,0.22841106741573033,0.24153083333333333,0.2047175,0.25947,0.04704017085429329,0.17304769662921346,0.19657750000000002,0.13044,0.221102,0.05844771084225714,292.61229641438194,293.072106515,287.66223535999995,297.58816544,7.031618321061641,81.8772488142732,29.915769834167754,"{""type"":""Point"",""coordinates"":[81.877249,29.915770000000002]}"
00000000000000000008,0.07239756830601092,0.07505499999999998,0.05386166666666666,0.08918999999999999,0.019218551801913286,0.3892301338147936,0.31901076445373877,0.22052692636095889,0.49111838313417316,0.20653992308720392,0.10159099726775958,0.103545,0.08708166666666667,0.115315,0.016212491612503887,0.4850130434970174,0.444819121098492,0.3067848595206999,0.6553734680592115,0.19463431284837482,-0.5333266851936143,-0.5284600309916647,-0.6390805155126635,-0.42310652941373394,0.11009792884652418,0.34721513661202164,0.3235572222222222,0.301655,0.36091750000000006,0.0845384458961975,0.11633790983606562,0.12265749999999997,0.07605875000000001,0.15495899999999999,0.04228536514404023,1,0.35779737704918013,0.36029875000000006,0.29482125000000003,0.41809,0.0686765542056396,0.23303543715847003,0.2471005,0.16320166666666666,0.29918000000000006,0.07424944440244101,303.21394619442634,301.5462326,298.95879146,307.53802166,6.768105512652525,81.86369682813141,29.892896980126103,"{""type"":""Point"",""coordinates"":[81.863697,29.892897]}"
00000000000000000009,0.07203217987804877,0.072888,0.05500749999999999,0.091988125,0.024365968602263425,0.25652055203547375,0.18112086951290265,0.14693384485617209,0.34222949812912995,0.1582253951029077,0.1019671036585365,0.09799000000000001,0.0808575,0.12186,0.024673430679052824,0.3757283454327164,0.28238360932286644,0.22321638460115756,0.46435038830463193,0.1982321518238531,-0.43033687772489587,-0.38122812845240667,-0.5025271509298054,-0.32130059980614534,0.1322626343562658,0.2625508384146342,0.23730843750000002,0.2159925,0.30128375,0.06307094752835664,0.11679832317073166,0.1235375,0.09039999999999998,0.14693083333333332,0.03894249866723253,1,0.28781663109756106,0.295790625,0.24486750000000002,0.3392658333333334,0.06248888078992601,0.22015875,0.23098,0.16517937500000002,0.28472416666666667,0.07627993902961185,298.2458008246342,295.49633719999997,292.09472369599996,304.88905616,8.517066649413133,81.86640221434511,29.8746907292431,"{""type"":""Point"",""coordinates"":[81.866402,29.874691]}"
