system:index,blue_mean,blue_median,blue_p25,blue_p75,blue_stdDev,evi_mean,evi_median,evi_p25,evi_p75,evi_stdDev,green_mean,green_median,green_p25,green_p75,green_stdDev,ndvi_mean,ndvi_median,ndvi_p25,ndvi_p75,ndvi_stdDev,ndwi_mean,ndwi_median,ndwi_p25,ndwi_p75,ndwi_stdDev,nir_mean,nir_median,nir_p25,nir_p75,nir_stdDev,red_mean,red_median,red_p25,red_p75,red_stdDev,stable_crop,swir1_mean,swir1_median,swir1_p25,swir1_p75,swir1_stdDev,swir2_mean,swir2_median,swir2_p25,swir2_p75,swir2_stdDev,thermal_mean,thermal_median,thermal_p25,thermal_p75,thermal_stdDev,x,y,.geo
00000000000000000000,0.05893680232558138,0.057152499999999995,0.044997499999999996,0.0717275,0.02328319106439579,0.2457069989389614,0.20368987388372897,0.07705526913908757,0.4160161082529201,0.19525343083493898,0.08494412790697675,0.09521249999999998,0.06603500000000001,0.1054425,0.029906495677145532,0.3655633502864644,0.3559337268178687,0.18401808369697825,0.5414805475504324,0.21608842611389545,-0.3839296046686233,-0.42271526266708115,-0.5754883803664291,-0.2858202023128777,0.20786421976051406,0.23731267441860468,0.21274749999999998,0.1140775,0.37431,0.13443104752756752,0.0915518023255814,0.08844750000000001,0.06727250000000001,0.12298750000000003,0.041148532036482624,1,0.23030081395348836,0.2739625,0.19311250000000002,0.31161,0.1096823542160377,0.15526738372093024,0.169105,0.10505750000000003,0.21450750000000002,0.07691978161165142,296.58128033906974,299.3074295,289.07387761999996,305.76065126000003,10.96727145610795,80.76046674115366,30.030556651726766,"{""type"":""Point"",""coordinates"":[80.760467,30.03055700000001]}"
00000000000000000001,0.062150067567567566,0.06351874999999998,0.052779999999999994,0.07047625000000002,0.01628005291663413,0.25973572382895255,0.20935901839361337,0.18037723829638244,0.27907491368090825,0.12684642394994364,0.09086824324324323,0.0898775,0.07968875,0.10177124999999998,0.016687227266370043,0.40187192176231945,0.3436271042873071,0.29143004936633427,0.42938454759106925,0.1631458801236951,-0.477267078169157,-0.46007098410579583,-0.5032791979411436,-0.4153727273768194,0.10038967500395589,0.2634950337837837,0.25397916666666664,0.2160475,0.28926625,0.06264813693884047,0.11134385135135134,0.11676333333333333,0.091775,0.13424875,0.03242921053323664,1,0.3157595270270271,0.32267875,0.2687925,0.3657575,0.0712204905470521,0.22373226351351347,0.240488125,0.186485,0.27653375,0.06483195822763582,298.646643092973,299.00322572,295.15966223,302.79893693,6.076238249744779,80.59762010992817,29.928070116122583,"{""type"":""Point"",""coordinates"":[80.59762,29.928070000000005]}"
00000000000000000002,0.08393614197530863,0.08664625000000001,0.06939000000000001,0.09711,0.02800758754682037,0.2111887241116941,0.1495871142900957,0.11399050095210883,0.24052939121897815,0.1410438453192946,0.1226558024691358,0.12934,0.1105575,0.14018416666666667,0.02920080073744379,0.30506706111639625,0.22765712792141038,0.16916193013193964,0.36133327097267043,0.1914446649241851,-0.4014876582675491,-0.3689439239645779,-0.4429507386117807,-0.3247704434737919,0.1258106159850179,0.2883942283950618,0.280239375,0.259256875,0.30908916666666664,0.05524316419172497,0.15651203703703706,0.1733675,0.1431725,0.191153125,0.049487802827776074,1,0.3453429938271605,0.36766875000000004,0.2922775,0.41700375,0.09588603248241681,0.26957947530864207,0.29977125000000004,0.21654250000000003,0.34859750000000006,0.09242645673415957,302.02863759555555,302.90318654,299.37578990000003,305.13857162,6.840242930661289,81.87108523324754,29.96626725625508,"{""type"":""Point"",""coordinates"":[81.871085,29.96626699999999]}"
00000000000000000003,0.047390381944444435,0.04567125,0.037111874999999996,0.054961666666666666,0.014328242971219951,0.23852048725288777,0.17783095513737196,0.10573537103723779,0.37250392398579546,0.15605000348342568,0.05973597222222219,0.057152499999999995,0.04952125,0.06834499999999999,0.014671705955750665,0.44022557508494775,0.40167399663982983,0.2875525135162815,0.5984713846769004,0.1906021712145247,-0.46116950160677145,-0.44591004132195894,-0.5693804407433243,-0.33844659055002024,0.14733446919973994,0.1807944097222222,0.15644125,0.10578625000000003,0.25670625,0.08105679208411568,0.06184125000000002,0.06480666666666668,0.04835249999999999,0.07429875000000001,0.01751840117383708,1,0.1666983680555556,0.1584625,0.1411375,0.1927641666666667,0.036862059488249034,0.11359128472222227,0.11645625000000001,0.09061999999999998,0.1343175,0.028322968511638878,294.1569006125,293.11397726,286.82482045999996,300.06964796,8.208145164945044,81.84888613639478,29.94218301982773,"{""type"":""Point"",""coordinates"":[81.848886,29.942183]}"
00000000000000000004,0.04651039285714286,0.0446125,0.03651375,0.054333750000000014,0.014585326626170904,0.21798864985798852,0.16515178141449804,0.12247382597518786,0.2652736856043856,0.13966941997059068,0.06751096428571428,0.06328500000000002,0.053921250000000004,0.07621,0.01808896984497169,0.4076785320808801,0.36242703619847055,0.2796127724869193,0.492763243103225,0.1843109363097425,-0.4639441429865201,-0.4283235978237385,-0.5331099643750968,-0.37019789508726914,0.11845853822685574,0.19184278571428576,0.18193375,0.14201750000000002,0.23093416666666666,0.061990196855376635,0.07779360714285713,0.07552249999999999,0.05909583333333333,0.09493750000000001,0.028855135732642794,1,0.1881884285714285,0.17497625,0.1578025,0.21450750000000002,0.04596319427031403,0.13167357142857142,0.1332175,0.08814499999999997,0.15387,0.049577394399657394,292.4692898591429,292.87984288999996,285.82504961,296.32691606000003,7.548296480680967,80.5837780144959,29.87621444311198,"{""type"":""Point"",""coordinates"":[80.58377800000001,29.876214000000004]}"
00000000000000000005,0.060783928571428565,0.05674000000000001,0.049006999999999995,0.07197500000000001,0.01633302170326071,0.21874965866089224,0.15383460036509009,0.11547253017508168,0.29378380182947184,0.14193850956584642,0.08114,0.07784625,0.06455,0.09471750000000001,0.01779152742780346,0.3602608221122224,0.29822608445848897,0.22469664647937537,0.46218487394957986,0.17263705572929122,-0.42881521429272484,-0.40538136113031936,-0.49765109685121633,-0.3529926625166668,0.12335370974424158,0.21287999999999999,0.19023875,0.15886583333333335,0.258425,0.06919675340753256,0.09496249999999998,0.09522624999999998,0.08168249999999999,0.11197374999999998,0.024492753264996583,1,0.24950714285714293,0.23852416666666665,0.22166666666666668,0.2879325,0.050481481318622616,0.18499964285714285,0.18392750000000002,0.1484525,0.21607500000000002,0.04996203897225684,297.80199144441565,297.13527779000003,290.56413434,303.3122096,9.475633407309646,81.86622990481807,29.93114395293358,"{""type"":""Point"",""coordinates"":[81.86623,29.931144000000003]}"
00000000000000000006,0.05278445945945945,0.055394791666666665,0.043017499999999986,0.06240499999999999,0.012931971186244985,0.2727003170638471,0.18918675542044416,0.1575963470441937,0.37261000914258463,0.16017976810609744,0.0776177027027027,0.07689750000000001,0.06795083333333334,0.08633916666666668,0.01123639554862366,0.43415496919732094,0.35420247276936834,0.2915467802547143,0.6085099476980503,0.19271318523101277,-0.4979201498360085,-0.4647790985431793,-0.606895375695661,-0.4055915721231765,0.11719675877372532,0.2432267905405406,0.22304625,0.19653625,0.27256,0.06330806883524931,0.09173523648648649,0.09660125,0.06694249999999999,0.1137475,0.028815739561587506,1,0.2446278040540541,0.24111375000000002,0.20881500000000003,0.2745125,0.041931253981546714,0.15788239864864864,0.16722125000000002,0.1278825,0.1938275,0.044712262387900485,300.70064216567556,300.267038615,297.22585532,303.2552426,5.241075868874914,80.56449108117694,29.863183362629993,"{""type"":""Point"",""coordinates"":[80.56449100000002,29.863182999999996]}"
00000000000000000007,0.06009944852941175,0.05904999999999999,0.052298750000000005,0.06857875,0.01974968150267012,0.2419356789914363,0.18871132778060973,0.10391363380695028,0.3385446659685142,0.1631089083671617,0.07703176470588236,0.07718166666666668,0.07014625,0.08368999999999999,0.016211877720941296,0.3940341203363864,0.3736656277961439,0.21056209525103442,0.5547291862378512,0.2095612884039727,-0.43488509324724506,-0.43460716068862604,-0.5448701415872144,-0.30945227017277155,0.15117807831579874,0.20984503676470587,0.20662875,0.14842958333333334,0.250924375,0.06990318480617641,0.08497198529411765,0.09057875000000001,0.07161062500000001,0.09834749999999999,0.025752210697360674,1,0.20971441176470587,0.22244125,0.18454625000000002,0.24470250000000002,0.05110639910454857,0.15307128676470588,0.151566875,0.10755999999999999,0.20442875,0.05651060138452399,292.879088915,293.13448538,288.36463847000005,298.20397871,7.516033714385108,81.8772488142732,29.915769834167754,"{""type"":""Point"",""coordinates"":[81.877249,29.915770000000002]}"
00000000000000000008,0.07570697916666663,0.07256166666666666,0.05681333333333333,0.08767406250000001,0.027300791661348887,0.2977340365479392,0.26580533870869893,0.16089481446843926,0.3839602545973251,0.17159543286731505,0.10514725694444445,0.10183083333333333,0.08898375,0.11491625,0.02494656966843681,0.4048120932527754,0.3773031103949632,0.24310749914686475,0.5360997862222356,0.19456580887212505,-0.48020953887330403,-0.49352665985372246,-0.5634511310913145,-0.3711202924084974,0.13350268961580827,0.30707249999999997,0.30518600000000007,0.284055,0.3234166666666667,0.06717680014025194,0.12907225694444438,0.13363,0.0923525,0.16265625,0.04564991831743903,1,0.35199604166666654,0.34654875,0.29633375,0.41620625,0.08067405574881949,0.2403143402777778,0.24955624999999998,0.1902525,0.29621000000000003,0.0690674897041045,302.97154694,301.429165415,299.342464205,306.27677228000005,7.697237693638732,81.86369682813141,29.892896980126103,"{""type"":""Point"",""coordinates"":[81.863697,29.892897]}"
00000000000000000009,0.07442404929577465,0.07024249999999999,0.05305500000000002,0.09848499999999999,0.02560593550650053,0.23976838919821625,0.16185979855533486,0.12635262568397299,0.298614786924867,0.1802367860390969,0.10471123239436618,0.09755000000000003,0.08660499999999999,0.127965,0.024508766403299142,0.34512675178944874,0.26706226120451954,0.17141211204723847,0.495996139403719,0.2170840530221128,-0.41019701036419703,-0.3675982543368061,-0.5107824921568032,-0.27976777267005154,0.15272290539935143,0.2602888028169015,0.22823,0.21218375,0.284605,0.07042655228213558,0.1224107746478873,0.125655,0.08935500000000002,0.15301750000000003,0.03969679096103549,1,0.2845906690140844,0.2961825,0.22893125,0.32731250000000006,0.05818456675177015,0.2154823943661972,0.22316312500000002,0.141495,0.2779775,0.07241753887732376,297.23659079126764,296.03467535,292.44233633,300.36359768,8.04680090168133,81.86640221434511,29.8746907292431,"{""type"":""Point"",""coordinates"":[81.866402,29.874691]}"
