system:index,blue_mean,blue_median,blue_p25,blue_p75,blue_stdDev,evi_mean,evi_median,evi_p25,evi_p75,evi_stdDev,green_mean,green_median,green_p25,green_p75,green_stdDev,ndvi_mean,ndvi_median,ndvi_p25,ndvi_p75,ndvi_stdDev,ndwi_mean,ndwi_median,ndwi_p25,ndwi_p75,ndwi_stdDev,nir_mean,nir_median,nir_p25,nir_p75,nir_stdDev,red_mean,red_median,red_p25,red_p75,red_stdDev,stable_crop,swir1_mean,swir1_median,swir1_p25,swir1_p75,swir1_stdDev,swir2_mean,swir2_median,swir2_p25,swir2_p75,swir2_stdDev,thermal_mean,thermal_median,thermal_p25,thermal_p75,thermal_stdDev,x,y,.geo
00000000000000000000,0.061441125,0.05458125,0.024221249999999986,0.09060625,0.04210488662610168,0.14639344614371075,0.12013970677899746,0.017782629555506274,0.20185680309817136,0.14573563863739106,0.08598212499999999,0.10404,0.019917500000000005,0.12692,0.06185105342309763,0.2530286413436644,0.2124172203681173,0.14249945454214408,0.35001461171731163,0.1701762655484044,-0.2901810448714338,-0.3226988842482763,-0.45803008176023274,-0.13495793936486605,0.21086906694573268,0.20025975000000001,0.20310875,0.01789624999999999,0.3509625,0.15261587837381957,0.106651125,0.09808625000000001,0.014087500000000003,0.16773,0.08626857100964916,1,0.20938837500000002,0.2368925,0.014444999999999986,0.37663375,0.16315602123097342,0.13988212499999997,0.13583,0.013344999999999996,0.254355,0.11202484508546252,290.16473870299995,288.46034303,280.68776555,299.83380458,10.187128718138927,80.76046674115366,30.030556651726766,"{""type"":""Point"",""coordinates"":[80.760467,30.03055700000001]}"
00000000000000000001,0.06536414473684211,0.06481124999999999,0.057784999999999975,0.0721675,0.021536095513330907,0.22689063405014287,0.20169379041335456,0.16684805504844827,0.22746463016474655,0.1023247992892554,0.09421960526315791,0.0951575,0.0809125,0.10079500000000002,0.018720605973153757,0.3545504164125564,0.3169353442359548,0.2729360156276776,0.363874016539728,0.13288920086582295,-0.4568492840740836,-0.4394522475003778,-0.48037562851227456,-0.3980059365248496,0.09276621990256716,0.25750447368421053,0.25172875,0.21824749999999998,0.2899675,0.05224839710509714,0.12122532894736841,0.12711250000000002,0.10442499999999999,0.14127499999999998,0.02956982639921899,1,0.3312797368421053,0.3450225,0.27773000000000003,0.380855,0.05946595322831204,0.23802144736842104,0.2608725,0.2037275,0.2808375,0.05152497902982163,298.96265921947366,299.81500546999996,294.90501974,303.03648932,6.880182076006895,80.59762010992817,29.928070116122583,"{""type"":""Point"",""coordinates"":[80.59762,29.928070000000005]}"
00000000000000000002,0.07991562500000002,0.08342875,0.06428875,0.0903175,0.03242465542294742,0.23014862199418315,0.13922274017856345,0.11610490118707287,0.3012965539648615,0.1657104721676711,0.11979437499999995,0.1236475,0.10610249999999999,0.13342375,0.03099247738237277,0.3214018567359054,0.20462466577834398,0.17640630234659305,0.42880459654554665,0.20546795968070736,-0.42006198212411666,-0.36680122315791563,-0.5189428170507833,-0.32511238545408305,0.13780555007660367,0.29820375000000005,0.2902425,0.25456125,0.33319750000000004,0.05834710876780794,0.15310000000000007,0.1628625,0.12718125,0.1827175,0.05119410732691782,1,0.3449531249999999,0.35589875,0.25856250000000003,0.41804874999999997,0.08097265451556424,0.2624425000000001,0.28163499999999997,0.17967875,0.34099375,0.09114418440032244,300.41541175590913,300.53620768999997,297.48904286000004,304.98134269999997,5.959101614097937,81.87108523324754,29.96626725625508,"{""type"":""Point"",""coordinates"":[81.871085,29.96626699999999]}"
00000000000000000003,0.04644625,0.04123,0.034341250000000004,0.055021249999999994,0.016793459897010497,0.25392941515861733,0.1922621681469096,0.1236622430953572,0.3437756957245207,0.15778177343546743,0.05974625000000001,0.05738625,0.048242499999999994,0.0663925,0.015497099879896776,0.4626773677078415,0.4170415721105704,0.30698035453788386,0.5896081187846005,0.18951985875135677,-0.4787759937228698,-0.47241035517188446,-0.5841338896238406,-0.36846602138429607,0.14638790678951644,0.18805999999999995,0.1633575,0.1230975,0.24023375,0.0820490561912507,0.060758124999999996,0.06188250000000001,0.045946249999999994,0.0710675,0.01746383579133964,1,0.168295,0.1638525,0.14414875000000002,0.19146249999999998,0.03024923718046439,0.10714812499999998,0.10716124999999999,0.07897374999999998,0.12571000000000002,0.026966368427577974,293.19600974,292.53974989999995,287.81775527,298.61357144,6.87956146168984,81.84888613639478,29.94218301982773,"{""type"":""Point"",""coordinates"":[81.848886,29.942183]}"
00000000000000000004,0.043635,0.04279749999999999,0.03438250000000001,0.0507725,0.011832677916121354,0.20230654123483782,0.19235951664888057,0.10136882734471372,0.2813089930513717,0.10660398727629684,0.06400666666666666,0.05998500000000001,0.053302499999999975,0.07002249999999999,0.013827050832416256,0.4038399243034325,0.42074382400319804,0.2258524845051224,0.5244513653111411,0.17416287138337383,-0.4632085404612367,-0.4507518439415817,-0.5475967198068599,-0.373156554111423,0.11220304658373362,0.17944166666666667,0.17061749999999998,0.14484999999999998,0.213325,0.044133704539601984,0.07455499999999998,0.06974750000000002,0.056052500000000005,0.09086749999999999,0.02347523943789853,1,0.1782308333333334,0.16800500000000002,0.14842499999999997,0.20353500000000002,0.03302257500138662,0.12338999999999999,0.1137475,0.08726499999999998,0.16478749999999998,0.04259610623832497,291.37710521818184,290.1984062,285.30721958000004,294.32053831999997,7.154480169142188,80.5837780144959,29.87621444311198,"{""type"":""Point"",""coordinates"":[80.58377800000001,29.876214000000004]}"
00000000000000000005,0.05371798913043479,0.0507175,0.043127499999999985,0.06570500000000001,0.015577780656061344,0.2413546180939225,0.18888908437261373,0.10501548239895697,0.331922222913943,0.16269557520867503,0.07478239130434783,0.06967875000000001,0.06603500000000001,0.0812425,0.011928114509387269,0.39720472480176205,0.3382816989513475,0.22328269928753863,0.5519213671144839,0.19991138644582226,-0.45928670849277803,-0.42921488362480026,-0.5771555425923226,-0.3595430217522956,0.13647455266165476,0.21736929347826087,0.18619625,0.1552175,0.2651625,0.07603205437736917,0.08628516304347826,0.08697624999999998,0.072855,0.10085,0.021817239720512964,1,0.2271748369565218,0.22417375,0.20713750000000003,0.2391475,0.03531267259058303,0.15917211956521737,0.16309625,0.1192475,0.1929475,0.04621481041127217,295.71300994608697,293.31734945,290.90935436,301.38558566,7.413915158695414,81.86622990481807,29.93114395293358,"{""type"":""Point"",""coordinates"":[81.86623,29.931144000000003]}"
00000000000000000006,0.05426671875,0.05729000000000001,0.046922500000000006,0.061634999999999995,0.012869234137285501,0.21664903166144361,0.18967222931812902,0.1585204129300066,0.2250904329474792,0.10079128128842917,0.076686953125,0.07765375,0.06745125000000002,0.085725,0.011847740797536751,0.3754299007262835,0.3383912640378479,0.2846194122267295,0.3945594336454323,0.13750107102362555,-0.47399787010677547,-0.44325554326394556,-0.5105590433711342,-0.4176445175572222,0.08639095893526882,0.2202171875,0.214425,0.18759875,0.2439875,0.04697392828137315,0.09840765624999996,0.10240374999999999,0.08228749999999999,0.11812,0.024537341583937743,1,0.24999710937499997,0.2521825,0.21023125,0.29072375,0.0453963439302136,0.16695656250000002,0.18093,0.14586749999999998,0.19512000000000002,0.04083366402701432,298.30797908937507,297.63430870999997,295.36987046,300.66438344,4.5446526776915865,80.56449108117694,29.863183362629993,"{""type"":""Point"",""coordinates"":[80.56449100000002,29.863182999999996]}"
00000000000000000007,0.060947499999999995,0.061195,0.05685000000000001,0.0717275,0.013794378383964977,0.20385664874407208,0.1610730845661294,0.10492461540428906,0.3040495789573281,0.12854122157796388,0.07626833333333333,0.07447749999999997,0.06917000000000001,0.08344249999999998,0.013057520555433086,0.3501286332886656,0.2762068668789261,0.20870663776817092,0.4681145505710975,0.1795133121028384,-0.40326034944562666,-0.3703944216745623,-0.4967866497448221,-0.3015609756097561,0.12984992865265138,0.19161583333333337,0.18538500000000002,0.13307999999999998,0.24588500000000002,0.06374149006381598,0.086705,0.08547749999999998,0.07662249999999998,0.09529500000000002,0.02260912048635829,1,0.20685916666666665,0.20411250000000003,0.1738075,0.2290275,0.0466147114802709,0.14912416666666664,0.15442,0.11404999999999998,0.182085,0.044886680992868744,290.0969013636364,290.39323334,281.6020859,297.11306066,8.7391464438238,81.8772488142732,29.915769834167754,"{""type"":""Point"",""coordinates"":[81.877249,29.915770000000002]}"
00000000000000000008,0.06919062499999999,0.06492125000000001,0.0503325,0.0870175,0.0235096724359757,0.3378765740614514,0.27801570051454005,0.15634808822068003,0.49047710299766456,0.19392376032157058,0.10385231250000002,0.09671125,0.085615,0.124005,0.020618374082564984,0.44189219308211003,0.4003857823352718,0.22642336576271233,0.6408632098525913,0.21274487746621115,-0.5169080017530823,-0.534273125400347,-0.6260307558573358,-0.37834502436796524,0.13276926630455205,0.34025331249999996,0.33131375,0.2800125,0.38947625,0.07771967536720428,0.12832318750000002,0.12583375000000002,0.08381374999999999,0.17595249999999998,0.04811430818240123,1,0.3488209375,0.345215,0.287355,0.40845125,0.06524072991067321,0.22328550000000003,0.22191875,0.1584075,0.28661250000000005,0.07186093668111693,300.8152035725,299.25957722,297.1198967,302.68614227,6.376623850520179,81.86369682813141,29.892896980126103,"{""type"":""Point"",""coordinates"":[81.863697,29.892897]}"
00000000000000000009,0.07158869047619047,0.06859249999999997,0.05352249999999997,0.09037250000000002,0.024934897216110675,0.2184349450747202,0.15956011698049344,0.10314405355135821,0.28499092385592817,0.14095446149310625,0.09831214285714285,0.09552875,0.08217750000000001,0.11696499999999999,0.023105000035883266,0.3337345788915668,0.28080565984752043,0.17405693993163346,0.433193086931193,0.19138065176142863,-0.4202169641554055,-0.4011434502318838,-0.518535237993221,-0.2782530362109664,0.1460288450207864,0.24729339285714277,0.22773500000000002,0.20579000000000003,0.2765475,0.05525229807712998,0.12114630952380948,0.13208999999999999,0.10027249999999999,0.14364,0.03407656993046143,1,0.27825184523809526,0.28567750000000003,0.22075,0.32849500000000004,0.05405469883725895,0.20660517857142854,0.22046125,0.14339249999999998,0.2711025,0.06663293744908097,295.74959620571434,294.43162397,291.92450629999996,299.96368934,7.225283273209258,81.86640221434511,29.8746907292431,"{""type"":""Point"",""coordinates"":[81.866402,29.874691]}"
