point_id,mean,min,max,std,status,lc2022,total_peaks,geo
00000000000000000028,0.6807,0.3006,0.8929,0.149,STABLE NON-CROP (Forest),4,16.0,"{""type"":""Point"",""coordinates"":[80.25858843649011,29.081833455973936]}"
00000000000000000029,0.7177,0.3198,0.9295,0.1185,STABLE NON-CROP (Forest),4,15.0,"{""type"":""Point"",""coordinates"":[84.40125830188032,28.08120226137858]}"
0000000000000000002a,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[83.78788665647357,28.475203971360003]}"
0000000000000000002b,0.0693,0.0278,0.1058,0.0157,STABLE NON-CROP (Barren/Water),9,0.0,"{""type"":""Point"",""coordinates"":[83.8132188095582,28.847641468646962]}"
0000000000000000002c,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[86.81835415981014,27.65593779391144]}"
0000000000000000002d,0.6846,0.2559,0.9228,0.1488,STABLE NON-CROP (Forest),4,15.0,"{""type"":""Point"",""coordinates"":[81.47454516185535,28.63124129452324]}"
0000000000000000002e,0.6042,0.1566,0.9027,0.1329,DISCARDED (Crop or Disturbance),4,18.0,"{""type"":""Point"",""coordinates"":[85.80478711305872,27.954809042018653]}"
0000000000000000002f,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.46576165996524,27.165726519600867]}"
00000000000000000030,0.662,0.275,0.8967,0.1321,STABLE NON-CROP (Forest),4,19.0,"{""type"":""Point"",""coordinates"":[86.10769830672035,27.2465744808009]}"
00000000000000000031,0.7402,0.4782,0.9192,0.1061,STABLE NON-CROP (Rangeland),4,13.0,"{""type"":""Point"",""coordinates"":[81.95559298350106,29.874416372718674]}"
00000000000000000032,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.83756796265683,28.24855678301546]}"
00000000000000000033,0.5,0.1611,0.8775,0.1854,DISCARDED (Crop or Disturbance),4,22.0,"{""type"":""Point"",""coordinates"":[82.67999624513862,27.71576555274553]}"
00000000000000000034,0.736,0.3297,0.9599,0.1318,STABLE NON-CROP (Forest),4,11.0,"{""type"":""Point"",""coordinates"":[85.86650107163841,27.203454973614075]}"
00000000000000000035,0.0996,0.044,0.2107,0.0333,STABLE NON-CROP (Barren/Water),5,0.0,"{""type"":""Point"",""coordinates"":[85.99235473977087,26.90296953092552]}"
00000000000000000036,0.7296,0.546,0.8856,0.0556,STABLE NON-CROP (Rangeland),4,13.0,"{""type"":""Point"",""coordinates"":[85.07283905243875,27.65054674073783]}"
00000000000000000037,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.20650506561684,27.679383747250462]}"
00000000000000000038,0.696,0.4084,0.876,0.1089,STABLE NON-CROP (Rangeland),4,20.0,"{""type"":""Point"",""coordinates"":[85.35742334077071,27.938100790371397]}"
00000000000000000039,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[80.85713357089416,30.054711205612655]}"
0000000000000000003a,0.7862,0.5298,0.878,0.064,STABLE NON-CROP (Rangeland),4,6.0,"{""type"":""Point"",""coordinates"":[82.81285516102604,28.187921926890695]}"
0000000000000000003b,0.6805,0.2686,0.9025,0.1565,STABLE NON-CROP (Forest),4,11.0,"{""type"":""Point"",""coordinates"":[82.9209214750563,27.847817371342273]}"
0000000000000000003c,0.6308,0.3106,0.8878,0.1359,STABLE NON-CROP (Forest),4,21.0,"{""type"":""Point"",""coordinates"":[80.33377779845333,29.397412955728406]}"
0000000000000000003d,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[83.50033706594105,27.647853443701553]}"
0000000000000000003e,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[82.82390481343647,29.3561796482872]}"
0000000000000000003f,0.1259,0.0541,0.1932,0.0277,STABLE NON-CROP (Barren/Water),9,0.0,"{""type"":""Point"",""coordinates"":[82.88211837768921,29.56692568227516]}"
00000000000000000040,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[82.27036538596487,29.906486227495066]}"
00000000000000000041,0.5928,0.3229,0.838,0.1215,STABLE NON-CROP (Rangeland),4,18.0,"{""type"":""Point"",""coordinates"":[80.58386648103583,29.08371965571955]}"
00000000000000000042,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.84728280969067,27.4718750206273]}"
00000000000000000043,0.646,0.1838,0.9003,0.1321,DISCARDED (Crop or Disturbance),4,15.0,"{""type"":""Point"",""coordinates"":[84.63140588455181,27.92947688893403]}"
00000000000000000044,0.6142,0.3864,0.7756,0.0895,STABLE NON-CROP (Rangeland),4,20.0,"{""type"":""Point"",""coordinates"":[85.58299142666033,27.80092546466424]}"
00000000000000000045,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.31476358458501,26.73238216102489]}"
00000000000000000046,0.6465,0.3245,0.8942,0.1493,STABLE NON-CROP (Forest),4,19.0,"{""type"":""Point"",""coordinates"":[87.3441401423251,26.916444934309034]}"
00000000000000000047,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.95776303155247,28.11947026661925]}"
00000000000000000048,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[80.91696132972824,28.564403828833132]}"
00000000000000000049,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[85.24962457280365,28.239393330350623]}"
0000000000000000004a,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.99173538831704,27.480766468127875]}"
0000000000000000004b,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[82.9702391327074,28.60617668750181]}"
