point_id,mean,min,max,std,status,lc2022,total_peaks,geo
00000000000000000573,0.5964,0.1408,0.9499,0.207,DISCARDED (Crop or Disturbance),4,19.0,"{""type"":""Point"",""coordinates"":[87.28835232904544,26.934499834474433]}"
00000000000000000574,-0.0128,-0.0558,0.0144,0.0094,STABLE NON-CROP (Barren/Water),9,0.0,"{""type"":""Point"",""coordinates"":[83.39523605411134,29.167804924284386]}"
00000000000000000575,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.99029263732996,27.44438466263281]}"
00000000000000000576,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[81.85075951773456,27.931630634742845]}"
00000000000000000577,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.35867834592096,27.82356432071259]}"
00000000000000000578,0.54,-0.0897,0.9571,0.2216,DISCARDED (Crop or Disturbance),10,17.0,"{""type"":""Point"",""coordinates"":[82.11351650640991,29.395794302046014]}"
00000000000000000579,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.62657068484825,26.80891817150624]}"
0000000000000000057a,0.6914,0.2458,0.9249,0.1424,DISCARDED (Crop or Disturbance),4,17.0,"{""type"":""Point"",""coordinates"":[81.69391509728065,28.395430653513856]}"
0000000000000000057b,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[83.80836730761204,27.56619838521085]}"
0000000000000000057c,0.668,0.3368,0.8737,0.1271,STABLE NON-CROP (Rangeland),4,16.0,"{""type"":""Point"",""coordinates"":[81.58315102711306,28.90908788116345]}"
0000000000000000057d,0.7288,0.5287,0.8963,0.0706,STABLE NON-CROP (Rangeland),4,17.0,"{""type"":""Point"",""coordinates"":[85.12835486055414,27.489929920792704]}"
0000000000000000057e,0.6345,0.2939,0.8618,0.1133,STABLE NON-CROP (Forest),4,19.0,"{""type"":""Point"",""coordinates"":[84.06762390196045,28.229690326458325]}"
0000000000000000057f,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.20669727055474,26.877637377840895]}"
00000000000000000580,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[83.04758669958048,29.382318898662497]}"
00000000000000000581,0.8133,0.6853,0.9131,0.0501,STABLE NON-CROP (Rangeland),4,8.0,"{""type"":""Point"",""coordinates"":[86.55802292210785,27.582095080466384]}"
00000000000000000582,0.0749,-0.0099,0.1281,0.0201,STABLE NON-CROP (Barren/Water),9,0.0,"{""type"":""Point"",""coordinates"":[83.36936434979924,29.04949605513435]}"
00000000000000000583,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[83.46395526044599,29.267247336877276]}"
00000000000000000584,0.713,0.2777,0.9028,0.117,STABLE NON-CROP (Forest),4,11.0,"{""type"":""Point"",""coordinates"":[83.77522280948178,27.828683368721947]}"
00000000000000000585,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[81.54111062238117,29.42624996224104]}"
00000000000000000586,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[83.72078164472026,28.510234669235878]}"
00000000000000000587,0.7461,0.4735,0.9149,0.1031,STABLE NON-CROP (Rangeland),4,21.0,"{""type"":""Point"",""coordinates"":[81.18510937157721,28.988856739908552]}"
00000000000000000588,0.7271,0.3965,0.9131,0.1043,STABLE NON-CROP (Rangeland),4,17.0,"{""type"":""Point"",""coordinates"":[82.23694442356928,28.17363942621651]}"
00000000000000000589,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[85.44285525785368,28.295720694857753]}"
0000000000000000058a,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[87.10967614983386,27.777479511325215]}"
0000000000000000058b,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.05820474637393,27.5141829714224]}"
0000000000000000058c,0.6985,0.3423,0.8705,0.1112,STABLE NON-CROP (Rangeland),4,18.0,"{""type"":""Point"",""coordinates"":[82.1216008566198,28.23696757937755]}"
0000000000000000058d,0.6712,0.2669,0.9124,0.1474,STABLE NON-CROP (Forest),4,15.0,"{""type"":""Point"",""coordinates"":[81.74107455002189,28.15665916940499]}"
0000000000000000058e,0.7668,0.497,0.9409,0.0951,STABLE NON-CROP (Rangeland),4,16.0,"{""type"":""Point"",""coordinates"":[82.5552216794611,28.526135823592462]}"
0000000000000000058f,0.7225,0.4002,0.9056,0.0963,STABLE NON-CROP (Rangeland),4,19.0,"{""type"":""Point"",""coordinates"":[81.02395300040462,28.830126119709032]}"
00000000000000000590,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.04580844544536,27.531163228233922]}"
00000000000000000591,0.747,0.4019,0.9333,0.1186,STABLE NON-CROP (Rangeland),4,17.0,"{""type"":""Point"",""coordinates"":[83.0252198486964,27.934056385715923]}"
00000000000000000592,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[80.80431105981503,28.727450858852375]}"
00000000000000000593,0.6251,0.2237,0.879,0.1281,DISCARDED (Crop or Disturbance),4,14.0,"{""type"":""Point"",""coordinates"":[84.12583300711212,28.105994863235733]}"
00000000000000000594,0.6151,0.3144,0.911,0.1399,STABLE NON-CROP (Forest),4,23.0,"{""type"":""Point"",""coordinates"":[81.41741515915858,29.41951226054929]}"
00000000000000000595,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.06582934558273,27.847549825279064]}"
00000000000000000596,0.7504,0.3599,0.9752,0.1062,STABLE NON-CROP (Forest),4,14.0,"{""type"":""Point"",""coordinates"":[87.29482248467399,27.52199977556909]}"
00000000000000000597,0.651,0.1733,0.9254,0.159,DISCARDED (Crop or Disturbance),4,14.0,"{""type"":""Point"",""coordinates"":[85.02163519504202,28.128633719284082]}"
00000000000000000598,0.5528,0.3376,0.8273,0.1122,STABLE NON-CROP (Rangeland),4,21.0,"{""type"":""Point"",""coordinates"":[81.82381317006858,28.609409535765565]}"
00000000000000000599,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[81.42226220200368,28.38088060677646]}"
0000000000000000059a,0.673,0.4008,0.8615,0.1062,STABLE NON-CROP (Rangeland),4,15.0,"{""type"":""Point"",""coordinates"":[81.68205834757954,28.850606770847506]}"
0000000000000000059b,0.8348,0.6896,0.9212,0.0481,STABLE NON-CROP (Rangeland),4,8.0,"{""type"":""Point"",""coordinates"":[86.89381106783655,27.41420100760204]}"
0000000000000000059c,0.6943,0.2179,0.9136,0.1568,DISCARDED (Crop or Disturbance),4,15.0,"{""type"":""Point"",""coordinates"":[81.55404647453722,28.48813982351605]}"
0000000000000000059d,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.84180011314915,26.92210353354586]}"
0000000000000000059e,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[83.90457687194119,28.355008902464373]}"
0000000000000000059f,0.738,0.5746,0.8479,0.0591,STABLE NON-CROP (Rangeland),4,12.0,"{""type"":""Point"",""coordinates"":[80.44884936023854,29.230325980154742]}"
000000000000000005a0,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.48264581430782,27.48022691690041]}"
000000000000000005a1,0.5745,0.3529,0.8405,0.1075,STABLE NON-CROP (Rangeland),10,23.0,"{""type"":""Point"",""coordinates"":[80.31410424460552,28.887260581506833]}"
000000000000000005a2,0.7252,0.4656,0.909,0.1103,STABLE NON-CROP (Rangeland),4,19.0,"{""type"":""Point"",""coordinates"":[80.97975439076286,29.779018364781262]}"
000000000000000005a3,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.92264807434918,27.382403157989916]}"
000000000000000005a4,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.92776712235853,26.86551308207658]}"
000000000000000005a5,0.5779,0.2471,0.8991,0.1473,DISCARDED (Crop or Disturbance),4,22.0,"{""type"":""Point"",""coordinates"":[81.99682629094228,29.143007863326158]}"
000000000000000005a6,0.715,0.4118,0.9056,0.0932,STABLE NON-CROP (Rangeland),4,17.0,"{""type"":""Point"",""coordinates"":[82.3433965430182,28.242358632551166]}"
000000000000000005a7,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.96873288373655,26.998104451900787]}"
000000000000000005a8,0.501,0.2903,0.7864,0.1238,STABLE NON-CROP (Rangeland),10,22.0,"{""type"":""Point"",""coordinates"":[82.88400457743482,29.08695696308435]}"
000000000000000005a9,0.6539,0.1474,0.883,0.1706,DISCARDED (Crop or Disturbance),4,12.0,"{""type"":""Point"",""coordinates"":[82.40996200354404,27.80739562029278]}"
000000000000000005aa,0.6923,0.3098,1.0217,0.1514,STABLE NON-CROP (Forest),4,11.0,"{""type"":""Point"",""coordinates"":[81.48559481426577,28.363093252674272]}"
000000000000000005ab,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[82.24718697868906,29.393640556237198]}"
000000000000000005ac,0.6067,0.2112,0.9301,0.1835,DISCARDED (Crop or Disturbance),10,21.0,"{""type"":""Point"",""coordinates"":[82.50347827083691,29.113363759522855]}"
000000000000000005ad,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.22069592292313,28.04023650000057]}"
000000000000000005ae,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.71090719723371,27.514722522649873]}"
000000000000000005af,0.6601,0.467,0.8159,0.0812,STABLE NON-CROP (Rangeland),11,17.0,"{""type"":""Point"",""coordinates"":[82.46332406585064,28.364979452419874]}"
000000000000000005b0,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[80.89648067858977,29.79060310931811]}"
000000000000000005b1,0.7024,0.3438,0.8885,0.1264,STABLE NON-CROP (Rangeland),4,13.0,"{""type"":""Point"",""coordinates"":[80.28364858441049,29.13465596705306]}"
000000000000000005b2,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[80.73478475618971,29.863906271535708]}"
000000000000000005b3,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[86.92049432854037,27.74514211048563]}"
000000000000000005b4,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[86.69654489633315,26.65638124266997]}"
000000000000000005b5,0.7728,0.3371,0.9164,0.0972,STABLE NON-CROP (Forest),4,9.0,"{""type"":""Point"",""coordinates"":[83.02710604844201,28.307305439394607]}"
000000000000000005b6,0.0847,0.025,0.2069,0.0355,STABLE NON-CROP (Barren/Water),9,0.0,"{""type"":""Point"",""coordinates"":[83.32381909163935,28.866240379140887]}"
000000000000000005b7,0.65,0.214,0.8747,0.1475,DISCARDED (Crop or Disturbance),4,22.0,"{""type"":""Point"",""coordinates"":[82.16445281774342,29.31359969232785]}"
000000000000000005b8,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[80.41516085177976,28.812338765606828]}"
000000000000000005b9,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.44528100882675,27.209657583179418]}"
000000000000000005ba,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[88.03970193834895,27.38321025528059]}"
000000000000000005bb,0.1794,0.1123,0.2601,0.0363,STABLE NON-CROP (Barren/Water),9,0.0,"{""type"":""Point"",""coordinates"":[84.10508480991044,29.14274031726296]}"
000000000000000005bc,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.6274575823653,27.410161062047614]}"
000000000000000005bd,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[83.98435018978734,27.825450520458194]}"
000000000000000005be,0.7113,0.3905,0.8657,0.1146,STABLE NON-CROP (Rangeland),4,12.0,"{""type"":""Point"",""coordinates"":[80.46663671434074,29.091804005929458]}"
000000000000000005bf,0.7065,0.3924,0.8737,0.1168,STABLE NON-CROP (Rangeland),4,11.0,"{""type"":""Point"",""coordinates"":[83.1901486193602,27.911417529667577]}"
000000000000000005c0,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.37971039142843,26.724297810815]}"
000000000000000005c1,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[88.13753015636051,27.813861316820283]}"
000000000000000005c2,0.1505,0.0109,0.3061,0.0574,STABLE NON-CROP (Barren/Water),9,0.0,"{""type"":""Point"",""coordinates"":[83.12385516399863,29.52703902335209]}"
000000000000000005c3,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[81.57102673134874,30.046626855402756]}"
000000000000000005c4,0.783,0.6075,0.9313,0.0601,STABLE NON-CROP (Rangeland),4,10.0,"{""type"":""Point"",""coordinates"":[81.83970986532411,29.285034690979472]}"
000000000000000005c5,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[87.50502450833342,27.660521749794388]}"
000000000000000005c6,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[83.88894772274887,27.52307887802403]}"
000000000000000005c7,0.6969,0.452,0.8589,0.0888,STABLE NON-CROP (Rangeland),4,13.0,"{""type"":""Point"",""coordinates"":[81.99844494462468,28.906934135354632]}"
000000000000000005c8,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.47825406336277,26.857963823993092]}"
000000000000000005c9,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[83.4238010554597,29.04410500196074]}"
000000000000000005ca,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.51975491686719,26.895964283170557]}"
000000000000000005cb,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[87.00026318728546,27.759424611159815]}"
000000000000000005cc,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[86.26346362471934,26.94258418468434]}"
000000000000000005cd,0.6602,0.3234,0.9485,0.1489,STABLE NON-CROP (Forest),4,16.0,"{""type"":""Point"",""coordinates"":[81.76102010903396,28.50700182097213]}"
000000000000000005ce,0.2447,0.1223,0.44,0.0667,STABLE NON-CROP (Barren/Water),9,12.0,"{""type"":""Point"",""coordinates"":[82.91714907556508,29.117675710241535]}"
000000000000000005cf,0.6292,0.2439,0.9463,0.1712,DISCARDED (Crop or Disturbance),4,21.0,"{""type"":""Point"",""coordinates"":[85.83254501711643,27.080299061618962]}"
000000000000000005d0,0.7463,0.2058,0.8768,0.1074,DISCARDED (Crop or Disturbance),4,7.0,"{""type"":""Point"",""coordinates"":[86.09045050384563,27.189444478104146]}"
000000000000000005d1,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[85.0744532470201,28.671395499509515]}"
000000000000000005d2,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[81.77530260970815,30.21937243021325]}"
000000000000000005d3,0.5909,0.2818,0.8518,0.1206,STABLE NON-CROP (Forest),4,21.0,"{""type"":""Point"",""coordinates"":[85.13697876199151,27.98148784362142]}"
000000000000000005d4,0.6108,0.2497,0.906,0.1635,DISCARDED (Crop or Disturbance),4,21.0,"{""type"":""Point"",""coordinates"":[85.89964556976868,27.072214711409064]}"
000000000000000005d5,0.6141,0.2111,0.9362,0.1663,DISCARDED (Crop or Disturbance),4,17.0,"{""type"":""Point"",""coordinates"":[82.01488119110769,28.6104886382205]}"
000000000000000005d6,0.1137,-0.372,0.3396,0.093,STABLE NON-CROP (Barren/Water),5,0.0,"{""type"":""Point"",""coordinates"":[82.61127257970291,27.822217672194444]}"
000000000000000005d7,,,,,DISCARDED (Insufficient Samples),5,,"{""type"":""Point"",""coordinates"":[83.42352905029546,27.50286577294876]}"
000000000000000005d8,0.6862,0.196,0.9223,0.1457,DISCARDED (Crop or Disturbance),4,19.0,"{""type"":""Point"",""coordinates"":[84.74944274853759,27.824103871940046]}"
000000000000000005d9,0.709,0.3167,0.9449,0.1093,STABLE NON-CROP (Forest),4,17.0,"{""type"":""Point"",""coordinates"":[86.29068197754957,27.485885516137238]}"
000000000000000005da,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.96711423005414,27.26193608393002]}"
000000000000000005db,0.7183,0.5058,0.8451,0.0704,STABLE NON-CROP (Rangeland),4,16.0,"{""type"":""Point"",""coordinates"":[85.01004599140413,27.60446639045152]}"
000000000000000005dc,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[84.64622793645347,28.31592934083197]}"
000000000000000005dd,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.54876336697407,27.29939699188002]}"
000000000000000005de,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[85.79211880696589,28.09144035739729]}"
000000000000000005df,0.6391,0.3925,0.8062,0.1002,STABLE NON-CROP (Rangeland),4,17.0,"{""type"":""Point"",""coordinates"":[80.78571660842216,28.952474934413484]}"
000000000000000005e0,0.7205,0.4208,0.9051,0.1175,STABLE NON-CROP (Rangeland),4,15.0,"{""type"":""Point"",""coordinates"":[86.24001767138031,27.513108328068515]}"
000000000000000005e1,0.6059,0.2859,0.8739,0.1279,STABLE NON-CROP (Forest),4,23.0,"{""type"":""Point"",""coordinates"":[80.37905105144895,29.531890525298238]}"
000000000000000005e2,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[87.19888046640804,27.678844196022997]}"
000000000000000005e3,0.5233,0.2447,0.8291,0.1567,DISCARDED (Crop or Disturbance),4,21.0,"{""type"":""Point"",""coordinates"":[85.06664090197445,27.66860610000429]}"
000000000000000005e4,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[81.66804339296856,30.281353934856156]}"
000000000000000005e5,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[84.5982569273205,28.624771138894683]}"
000000000000000005e6,0.5592,0.255,0.9468,0.1594,STABLE NON-CROP (Forest),4,20.0,"{""type"":""Point"",""coordinates"":[82.11836800835606,29.58174773417682]}"
000000000000000005e7,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.16895251429897,28.31188939527755]}"
000000000000000005e8,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[82.47679501013309,29.200409871187176]}"
000000000000000005e9,,,,,DISCARDED (Insufficient Samples),5,,"{""type"":""Point"",""coordinates"":[85.38922564948389,26.919949787737043]}"
000000000000000005ea,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[82.21916152856815,29.224667380917918]}"
000000000000000005eb,0.6553,0.2297,0.9187,0.1199,DISCARDED (Crop or Disturbance),4,17.0,"{""type"":""Point"",""coordinates"":[80.75364675364578,29.57743578345813]}"
000000000000000005ec,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[83.96198333890325,28.027300647844527]}"
000000000000000005ed,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.48022006333474,27.44681041360589]}"
000000000000000005ee,0.6191,0.2725,0.9443,0.1593,STABLE NON-CROP (Forest),4,23.0,"{""type"":""Point"",""coordinates"":[81.71736105061967,29.124685417097556]}"
000000000000000005ef,0.6528,0.2055,0.8967,0.1642,DISCARDED (Crop or Disturbance),4,15.0,"{""type"":""Point"",""coordinates"":[82.04695104588407,28.09898961548078]}"
000000000000000005f0,0.7937,0.3354,0.9048,0.074,STABLE NON-CROP (Forest),4,12.0,"{""type"":""Point"",""coordinates"":[85.36012109690805,28.090365714043408]}"
000000000000000005f1,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[85.621259431901,28.231580985304987]}"
000000000000000005f2,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[83.25159503187669,29.166725821829445]}"
000000000000000005f3,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.74441980299717,27.077066213355213]}"
000000000000000005f4,0.6674,0.2482,0.9198,0.1436,DISCARDED (Crop or Disturbance),4,14.0,"{""type"":""Point"",""coordinates"":[86.4143818998732,27.083531909882705]}"
000000000000000005f5,0.7557,0.5581,0.9147,0.0665,STABLE NON-CROP (Rangeland),4,19.0,"{""type"":""Point"",""coordinates"":[82.22993917581432,28.804254415396926]}"
000000000000000005f6,0.6393,0.3036,0.8866,0.1354,STABLE NON-CROP (Forest),4,19.0,"{""type"":""Point"",""coordinates"":[80.80431105981503,29.311713492582236]}"
000000000000000005f7,0.6224,0.3532,0.8701,0.1373,STABLE NON-CROP (Rangeland),4,17.0,"{""type"":""Point"",""coordinates"":[87.21181631856409,27.04849675290578]}"
000000000000000005f8,0.6923,0.4775,0.8828,0.0897,STABLE NON-CROP (Rangeland),4,18.0,"{""type"":""Point"",""coordinates"":[86.213878421005,27.66240794954]}"
000000000000000005f9,0.701,0.4704,0.8756,0.095,STABLE NON-CROP (Rangeland),4,14.0,"{""type"":""Point"",""coordinates"":[83.86280847237356,28.19034767786377]}"
000000000000000005fa,0.7065,0.3471,0.9182,0.1024,STABLE NON-CROP (Forest),4,13.0,"{""type"":""Point"",""coordinates"":[84.50878506468311,27.89174843492082]}"
000000000000000005fb,0.6116,0.2879,0.8674,0.1255,STABLE NON-CROP (Forest),4,21.0,"{""type"":""Point"",""coordinates"":[82.51533502053802,28.288982993165998]}"
000000000000000005fc,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[83.79812921159333,29.15756236916462]}"
000000000000000005fd,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[80.9449912389502,30.189995872473148]}"
000000000000000005fe,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[81.34518664029486,28.595666586318842]}"
000000000000000005ff,0.7777,0.5364,0.8919,0.073,STABLE NON-CROP (Rangeland),4,13.0,"{""type"":""Point"",""coordinates"":[83.3728647441262,28.302725942612717]}"
00000000000000000600,0.7419,0.3146,0.9296,0.1094,STABLE NON-CROP (Forest),4,16.0,"{""type"":""Point"",""coordinates"":[86.75933349826673,26.826165974380974]}"
00000000000000000601,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[83.87897717279336,28.602404288010604]}"
00000000000000000602,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.69186483798126,27.109671160258006]}"
00000000000000000603,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[82.488384213771,29.793300865455443]}"
00000000000000000604,0.6889,0.3797,0.914,0.1284,STABLE NON-CROP (Rangeland),4,19.0,"{""type"":""Point"",""coordinates"":[82.70748214403206,27.991730398741186]}"
00000000000000000605,0.708,0.5195,0.852,0.077,STABLE NON-CROP (Rangeland),4,13.0,"{""type"":""Point"",""coordinates"":[80.59868853293749,29.391754356491585]}"
00000000000000000606,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.34117484012455,26.789244617658436]}"
00000000000000000607,0.7466,0.5445,0.9206,0.0765,STABLE NON-CROP (Rangeland),4,15.0,"{""type"":""Point"",""coordinates"":[82.2124238268764,28.929300986238722]}"
00000000000000000608,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.79850470326701,26.990827198981563]}"
00000000000000000609,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.28259762733967,27.305055591116844]}"
0000000000000000060a,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.54751282092488,27.06116505899862]}"
0000000000000000060b,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.40027530189433,27.795538870591677]}"
0000000000000000060c,,,,,DISCARDED (Insufficient Samples),11,,"{""type"":""Point"",""coordinates"":[85.00708068920358,28.456337514802875]}"
0000000000000000060d,0.6376,0.3066,0.9799,0.1504,STABLE NON-CROP (Forest),4,20.0,"{""type"":""Point"",""coordinates"":[82.40133810210668,28.687564199929305]}"
0000000000000000060e,0.3756,-0.0818,0.8332,0.1837,DISCARDED (Crop or Disturbance),9,21.0,"{""type"":""Point"",""coordinates"":[82.55602877675177,29.557222678382864]}"
0000000000000000060f,0.6791,0.366,0.9029,0.1283,STABLE NON-CROP (Rangeland),4,18.0,"{""type"":""Point"",""coordinates"":[81.53033297513498,28.78108046722218]}"
00000000000000000610,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[83.99971179291646,28.52667537481993]}"
00000000000000000611,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.91464352436564,28.242091086487964]}"
00000000000000000612,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[87.3902204926114,27.560535326872973]}"
00000000000000000613,0.7415,0.2088,0.9534,0.1454,DISCARDED (Crop or Disturbance),4,6.0,"{""type"":""Point"",""coordinates"":[84.4985469686644,28.230229877685797]}"
00000000000000000614,0.1418,0.0408,0.3144,0.0529,STABLE NON-CROP (Barren/Water),9,0.0,"{""type"":""Point"",""coordinates"":[83.98974124296096,29.279911183869064]}"
00000000000000000615,0.6419,0.0857,0.8882,0.1625,DISCARDED (Crop or Disturbance),4,14.0,"{""type"":""Point"",""coordinates"":[82.94409988233211,27.700943500843877]}"
00000000000000000616,0.7224,0.4917,0.8461,0.0818,STABLE NON-CROP (Rangeland),4,11.0,"{""type"":""Point"",""coordinates"":[81.95693963201921,29.741825002894462]}"
00000000000000000617,0.6714,0.3232,0.9009,0.1442,STABLE NON-CROP (Forest),4,16.0,"{""type"":""Point"",""coordinates"":[80.34024349498081,28.80074956196893]}"
00000000000000000618,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[83.7350686044955,28.685678000183703]}"
00000000000000000619,0.1639,0.0125,0.4822,0.0826,DISCARDED (Crop or Disturbance),9,7.0,"{""type"":""Point"",""coordinates"":[83.88679397694006,29.187746024195388]}"
0000000000000000061a,0.6466,0.2563,0.9081,0.1544,STABLE NON-CROP (Forest),4,16.0,"{""type"":""Point"",""coordinates"":[81.69984570168174,28.475471517423205]}"
0000000000000000061b,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.7052604411384,26.79840807032327]}"
0000000000000000061c,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[85.61667993511911,28.165283070842353]}"
0000000000000000061d,0.6705,0.3789,0.8334,0.106,STABLE NON-CROP (Rangeland),4,17.0,"{""type"":""Point"",""coordinates"":[80.69409099997596,29.029822501286553]}"
0000000000000000061e,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[86.76634320512274,27.66860610000429]}"
0000000000000000061f,0.68,0.3312,0.8565,0.0912,STABLE NON-CROP (Rangeland),11,15.0,"{""type"":""Point"",""coordinates"":[81.06734005365465,29.546445031136685]}"
00000000000000000620,0.6999,0.2359,0.9443,0.1409,DISCARDED (Crop or Disturbance),4,15.0,"{""type"":""Point"",""coordinates"":[84.5052802112551,28.075271656977495]}"
00000000000000000621,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[86.15405066217093,27.861564779890053]}"
