point_id,mean,min,max,std,status,total_non_crop,max_consecutive_non_crop,total_peaks,geo
2646,0.4654,0.1366,0.8242,0.0564,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[85.79301119524229,27.75759170926807]}"
2647,0.5176,0.2314,0.7547,0.0747,DISCARDED (Static Vegetation / Low Amplitude),6.0,3.0,21.0,"{""type"":""Point"",""coordinates"":[83.19533800780437,27.711481112053704]}"
2648,0.4231,0.1437,0.8271,0.1104,STABLE CROPLAND,0.0,0.0,24.0,"{""type"":""Point"",""coordinates"":[84.52112390821527,27.738892001632415]}"
2649,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[83.29611619308524,27.711281882218056]}"
2650,0.4129,0.1978,0.7521,0.1233,DISCARDED (Failed Phenology),5.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[85.37087588774243,27.749978434759964]}"
2651,0.4247,0.172,0.8216,0.0845,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[85.1283959245476,27.746147469618403]}"
2652,0.4714,0.1447,0.8039,0.077,DISCARDED (Failed Phenology),5.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[83.1419966403612,27.705666055085665]}"
2653,0.4011,0.1156,0.7369,0.1014,DISCARDED (Failed Phenology),4.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[82.95913291198413,27.698638736832887]}"
2654,0.4353,0.1019,0.7541,0.0752,DISCARDED (Failed Phenology),9.0,2.0,19.0,"{""type"":""Point"",""coordinates"":[82.99457594065576,27.701688321386037]}"
2655,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[83.34752557655229,27.70991481184428]}"
2656,0.4569,0.1664,0.7597,0.0795,DISCARDED (Failed Phenology),7.0,2.0,19.0,"{""type"":""Point"",""coordinates"":[82.87726522493084,27.69751929167151]}"
2657,0.4605,0.1734,0.7617,0.0551,DISCARDED (Failed Phenology),6.0,1.0,20.0,"{""type"":""Point"",""coordinates"":[82.8042264725871,27.693107072204157]}"
2658,0.5202,0.1666,0.8055,0.0691,DISCARDED (Failed Phenology),7.0,2.0,20.0,"{""type"":""Point"",""coordinates"":[83.11289567084714,27.70076046562072]}"
2659,0.4696,0.1755,0.7803,0.0743,STABLE CROPLAND,1.0,1.0,27.0,"{""type"":""Point"",""coordinates"":[85.43001251915801,27.74676471629483]}"
2660,0.4936,0.183,0.871,0.0679,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[86.16383676456599,27.75063477740085]}"
2661,0.541,0.0868,0.8672,0.0747,DISCARDED (Failed Phenology),6.0,2.0,18.0,"{""type"":""Point"",""coordinates"":[87.41232386094741,27.7526911893637]}"
2662,0.5335,0.2275,0.9053,0.0985,DISCARDED (Failed Phenology),6.0,3.0,17.0,"{""type"":""Point"",""coordinates"":[85.60006100933515,27.746520721907046]}"
2663,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[83.32260186738151,27.70254023881657]}"
2664,0.4933,0.1935,0.8302,0.0922,STABLE CROPLAND,1.0,1.0,24.0,"{""type"":""Point"",""coordinates"":[86.10594974487286,27.747633457489528]}"
2665,0.4562,0.1917,0.8273,0.051,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[85.67233475604216,27.741346058787958]}"
2666,0.3836,0.1018,0.708,0.0814,DISCARDED (Failed Phenology),8.0,2.0,20.0,"{""type"":""Point"",""coordinates"":[82.84544896870429,27.683868242182587]}"
2667,0.4573,0.2015,0.8028,0.1169,DISCARDED (Failed Phenology),5.0,1.0,20.0,"{""type"":""Point"",""coordinates"":[85.4087434488879,27.73763291120302]}"
2668,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[83.26524049959555,27.696442074223317]}"
2669,0.4793,0.1565,0.8492,0.0936,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[85.16515408935312,27.73349168183316]}"
2670,0.4756,0.1975,0.8231,0.0943,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[85.04989987725882,27.731592278303882]}"
2671,0.5162,0.1785,0.9028,0.0686,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[85.62270704487807,27.739767573754786]}"
2672,0.4416,0.14,0.9076,0.1097,DISCARDED (Failed Phenology),7.0,2.0,17.0,"{""type"":""Point"",""coordinates"":[83.17790069494426,27.692816085384163]}"
2673,0.4364,0.1691,0.7789,0.111,DISCARDED (Failed Phenology),8.0,3.0,20.0,"{""type"":""Point"",""coordinates"":[83.1989372861255,27.692393339180295]}"
2674,0.4631,0.1621,0.7359,0.0663,STABLE CROPLAND,3.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[82.96928872744569,27.681957510021046]}"
2675,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[83.4323507400363,27.69511545915648]}"
2676,0.5306,0.2941,0.831,0.0943,DISCARDED (Static Vegetation / Low Amplitude),4.0,1.0,24.0,"{""type"":""Point"",""coordinates"":[85.24211416153207,27.72857756323404]}"
2677,0.4771,0.1585,0.8297,0.0736,DISCARDED (Failed Phenology),6.0,1.0,20.0,"{""type"":""Point"",""coordinates"":[83.15683179843792,27.691583262377996]}"
2678,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[83.36830455373656,27.691622423631504]}"
2679,0.4165,0.0744,0.8244,0.0734,DISCARDED (Failed Phenology),4.0,1.0,25.0,"{""type"":""Point"",""coordinates"":[83.01075231947961,27.68395619796075]}"
2680,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[83.34614297513397,27.68969598382718]}"
2681,0.4951,0.1265,0.8604,0.1084,DISCARDED (Failed Phenology),4.0,2.0,19.0,"{""type"":""Point"",""coordinates"":[84.42207733964894,27.712569378186462]}"
2682,0.5127,0.0505,0.8275,0.0593,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[84.4003098912781,27.712260579987746]}"
2683,0.3859,0.1065,0.7529,0.0919,DISCARDED (Failed Phenology),6.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[82.79865266848236,27.672373768769056]}"
2684,0.4315,0.1745,0.7571,0.0816,DISCARDED (Failed Phenology),6.0,4.0,18.0,"{""type"":""Point"",""coordinates"":[85.44607601571462,27.727994716514562]}"
2685,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[83.29408713240687,27.685482393861886]}"
2686,0.4174,0.1688,0.7662,0.0878,DISCARDED (Failed Phenology),6.0,1.0,19.0,"{""type"":""Point"",""coordinates"":[82.75615354584787,27.66985045193421]}"
