filename,geoReg,ALV,MoranI,ALV_norm,MoranI_norm,Global_Score
s-9_n-18_cn-8_cm-1.geojson,1,0.000793579864375547,0.6545119268197674,0.483956920020093,0.2090180146329046,0.6929749346529976
s-11_n-22_cn-8_cm-1.geojson,1,0.0009094326843489117,0.641691350275011,0.6039488993787481,0.11516788822203088,0.7191167876007789
s-11_n-22_cn-8_cm-2.geojson,1,0.0009466373257273322,0.6375015368518036,0.6424827784966838,0.08449730815620549,0.7269800866528893
s-9_n-18_cn-8_cm-2.geojson,1,0.0008231235891332258,0.6573346562354019,0.5145561752830741,0.2296811659004139,0.7442373411834879
s-9_n-18_cn-8_cm-3.geojson,1,0.000882502523083537,0.6501948548677224,0.5760565843239828,0.17741586733400103,0.7534724516579838
s-12_n-24_cn-8_cm-3.geojson,1,0.001018825403197833,0.6321428597668495,0.7172499728021206,0.045270326431761765,0.7625202992338823
s-7_n-14_cn-8_cm-1.geojson,1,0.0006417285496296901,0.6875014131597152,0.3266803010413006,0.4505100764310281,0.7771903774723287
s-9_n-18_cn-4_cm-1.geojson,1,0.0008620026777960079,0.6585975921801716,0.5548243259019405,0.23892620239714982,0.7937505282990903
s-10_n-20_cn-8_cm-1.geojson,1,0.0008820098777007755,0.65585954890404,0.575546337835265,0.21888297683031757,0.7944293146655825
s-11_n-22_cn-8_cm-3.geojson,1,0.0009721668161383736,0.6434024961133773,0.6689243798935505,0.12769394371395787,0.7966183236075084
s-11_n-22_cn-4_cm-1.geojson,1,0.0010082043167696378,0.6388847934830952,0.7062494189636253,0.09462312498294558,0.8008725439465708
s-12_n-24_cn-4_cm-3.geojson,1,0.0010768885927448348,0.6303065421593972,0.7773876288662828,0.031827979358813936,0.8092156082250967
s-11_n-22_cn-4_cm-3.geojson,1,0.001034370739388991,0.6364600615939612,0.7333507087168926,0.07687342445167113,0.8102241331685637
s-8_n-16_cn-8_cm-2.geojson,1,0.0007762932954930263,0.6731067757554329,0.4660527411057577,0.34513739406261146,0.8111901351683691
s-8_n-16_cn-8_cm-1.geojson,1,0.0007321596569128758,0.6793930470620887,0.42034230737829836,0.39115461916345856,0.8114969265417569
s-12_n-24_cn-8_cm-2.geojson,1,0.000990795986451514,0.6428789740093691,0.688219128352821,0.12386161874257036,0.8120807470953914
s-9_n-18_cn-4_cm-2.geojson,1,0.000879008104427192,0.6595571102642543,0.5724373179877896,0.24595013717655095,0.8183874551643406
s-13_n-26_cn-8_cm-1.geojson,1,0.0010215510689476073,0.6410069788407805,0.7200730204280712,0.11015810216519456,0.8302311225932657
s-5_n-10_cn-8_cm-1.geojson,1,0.00048151838961346693,0.7176736716856206,0.1607461941448677,0.6713792601898442,0.8321254543347119
s-12_n-24_cn-4_cm-4.geojson,1,0.0011052464347774825,0.6296128099004122,0.8067586324950229,0.026749669504826382,0.8335083019998493
s-6_n-12_cn-8_cm-1.geojson,1,0.000578553333476033,0.704431300240645,0.26124797721499227,0.5744414797591352,0.8356894569741274
s-13_n-26_cn-8_cm-3.geojson,1,0.001058733463084494,0.6365668173849568,0.7585838574608206,0.07765490603676639,0.836238763497587
s-13_n-26_cn-8_cm-2.geojson,1,0.0010383294070221082,0.6395707835513729,0.7374508105964152,0.09964475988366232,0.8370955704800774
s-10_n-20_cn-8_cm-2.geojson,1,0.0008975993087872804,0.6604203201434393,0.5916927440563232,0.2522690695582432,0.8439618136145663
s-12_n-24_cn-8_cm-4.geojson,1,0.0010637148988803192,0.6370778815249065,0.7637432686976514,0.08139603530430803,0.8451393040019595
s-11_n-22_cn-4_cm-2.geojson,1,0.0010134964685612157,0.6445902330910073,0.7117306473763982,0.13638850320621662,0.8481191505826149
s-11_n-22_cn-8_cm-4.geojson,1,0.0010248441553035968,0.6431088221754262,0.7234837613159064,0.1255441701757653,0.8490279314916718
