filename,ALV,MoranI,ALV_norm,MoranI_norm,Global_Score
s-10_n-20_cn-8_cm-1.geojson,0.0010981969289088154,0.587038126731975,0.7856999447474065,0.0,0.7856999447474065
s-9_n-18_cn-8_cm-1.geojson,0.0009994397869731624,0.6071156713881466,0.6761841688722686,0.12134012196262907,0.7975242908348977
s-10_n-20_cn-8_cm-2.geojson,0.001117643667901151,0.5874645666597167,0.8072652175696454,0.00257722115567598,0.8098424387253214
s-9_n-18_cn-8_cm-2.geojson,0.0010276668298771175,0.6068183488436997,0.707486274661252,0.11954323123603622,0.8270295058972883
s-8_n-16_cn-8_cm-1.geojson,0.0009280670596423327,0.6293320671751731,0.5970360742964514,0.25560654848700953,0.8526426227834609
s-10_n-20_cn-8_cm-3.geojson,0.0011557668822336107,0.5879049339242336,0.8495415867986563,0.005238613198373071,0.8547801999970294
s-7_n-14_cn-8_cm-1.geojson,0.0008154634542117067,0.6507465051537877,0.47216539686121395,0.38502628384730553,0.8571916807085195
s-10_n-20_cn-4_cm-1.geojson,0.0011603718922267052,0.590638414528552,0.8546482680211152,0.021758604840305507,0.8764068728614207
s-8_n-16_cn-8_cm-2.geojson,0.0009661790757699992,0.6271919805078617,0.6393000253847354,0.24267277686955557,0.881972802254291
s-9_n-18_cn-4_cm-1.geojson,0.0010590298636742185,0.6103422002081433,0.7422660071724019,0.14083988686112214,0.883105894033524
s-6_n-12_cn-8_cm-1.geojson,0.0007279607883000117,0.6723531666549107,0.37513016314914305,0.5156077362434583,0.8907378993926014
s-9_n-18_cn-8_cm-3.geojson,0.0010818171547024111,0.6076177456392073,0.7675357528144043,0.12437444472974492,0.8919101975441492
s-9_n-18_cn-4_cm-2.geojson,0.0010756717980603247,0.6097204435220185,0.7607209190971017,0.1370822544704364,0.8978031735675381
s-10_n-20_cn-4_cm-2.geojson,0.001171933989585428,0.5925719990711175,0.8674699438833979,0.033444365636151774,0.9009143095195498
s-10_n-20_cn-8_cm-4.geojson,0.0012102356490331645,0.5880808774174483,0.9099441980943721,0.006301940676448963,0.9162461387708211
s-5_n-10_cn-8_cm-1.geojson,0.0005943552481111783,0.7012700687784996,0.2269695936125045,0.6903691670132872,0.9173387606257917
s-8_n-16_cn-4_cm-1.geojson,0.0009833907387596613,0.6298926085377194,0.6583867323253071,0.25899422155467045,0.9173809538799775
s-7_n-14_cn-8_cm-2.geojson,0.0008729401339621546,0.6505886337065822,0.5359036040857456,0.3840721761122019,0.9199757801979475
s-4_n-8_cn-8_cm-1.geojson,0.000485887217749708,0.7236287651642577,0.10668502208830657,0.8254955977015799,0.9321806197898864
s-7_n-14_cn-4_cm-1.geojson,0.0008679845782503975,0.6540922743480818,0.5304081885843617,0.40524668674252,0.9356548753268816
s-10_n-20_cn-4_cm-3.geojson,0.0011995240965255438,0.5935590888898081,0.8980657257053706,0.039409915758894395,0.937475641464265
s-9_n-18_cn-4_cm-3.geojson,0.0011162859373170357,0.6094300073911915,0.8057595753909189,0.1353269822924676,0.9410865576833864
s-8_n-16_cn-8_cm-3.geojson,0.0010314116972337172,0.6259982757059835,0.7116391090392934,0.23545853385688956,0.9470976428961829
s-8_n-16_cn-4_cm-2.geojson,0.001007255470721567,0.6306692698726483,0.684851295653428,0.2636880316155014,0.9485393272689293
s-6_n-12_cn-4_cm-1.geojson,0.0007768712600759362,0.6742372676032423,0.4293689570223953,0.526994439287856,0.9563633963102514
s-6_n-12_cn-8_cm-2.geojson,0.000807075016385516,0.6699893981070576,0.46286311999384366,0.5013221266831399,0.9641852466769836
s-3_n-6_cn-8_cm-1.geojson,0.00038968274141202067,0.7469818025411901,0.0,0.9666314015083355,0.9666314015083355
s-10_n-20_cn-4_cm-4.geojson,0.0012402143245973927,0.5916464240892777,0.9431887599536518,0.02785058496698653,0.9710393449206384
s-4_n-8_cn-4_cm-1.geojson,0.0005150690148893031,0.7248184376890964,0.1390458933380634,0.8326854713505544,0.9717313646886178
s-9_n-18_cn-8_cm-4.geojson,0.0011514678670682195,0.6081397444651605,0.8447742355761637,0.12752918313477374,0.9723034187109374
s-7_n-14_cn-4_cm-2.geojson,0.0009070934818656716,0.6531968710491831,0.5737776283950381,0.39983525086454225,0.9736128792595804
s-5_n-10_cn-4_cm-1.geojson,0.0006324759147899047,0.7041146310666079,0.2692431376455873,0.7075604890041091,0.9768036266496964
s-10_n-20_cn-8_cm-5.geojson,0.0012736617584507646,0.5891880780822241,0.9802799677153252,0.012993389556364575,0.9932733572716897
s-9_n-18_cn-4_cm-4.geojson,0.0011718570267325156,0.6088778193423062,0.8673845966732109,0.13198979309202194,0.9993743897652329
s-3_n-6_cn-4_cm-1.geojson,0.0004151084644460928,0.7486328710819888,0.028195609256058386,0.9766097560103438,1.0048053652664022
s-8_n-16_cn-4_cm-3.geojson,0.0010575718380928952,0.6314011430645203,0.7406491438280935,0.26811116123038875,1.0087603050584824
s-10_n-20_cn-4_cm-5.geojson,0.0012914445300355058,0.5889498606040466,1.0,0.011553704657106053,1.0115537046571061
s-6_n-12_cn-4_cm-2.geojson,0.0008333888377669907,0.6748789374224357,0.49204357730911985,0.5308724181669479,1.0229159954760676
s-7_n-14_cn-8_cm-3.geojson,0.0009624114268257694,0.6526702892458489,0.6351219275857802,0.39665281489769044,1.0317747424834707
s-8_n-16_cn-8_cm-4.geojson,0.0011115435679163966,0.6265054960602644,0.8005005707840835,0.23852395747837052,1.0390245282624542
s-9_n-18_cn-8_cm-5.geojson,0.0012284074152394922,0.6067496954936539,0.9300956021964093,0.11912831965145958,1.049223921847869
s-5_n-10_cn-8_cm-2.geojson,0.0007030979874518713,0.7038479331553777,0.3475588009980668,0.7059486805071027,1.0535074815051695
s-7_n-14_cn-4_cm-3.geojson,0.000978540911838701,0.6554426393022176,0.6530085637422677,0.4134077169399315,1.066416280682199
s-4_n-8_cn-8_cm-2.geojson,0.0005994717214377597,0.7259849446525993,0.232643457144016,0.8397353422210044,1.0723787993650205
s-3_n-6_cn-8_cm-2.geojson,0.0004775160694102539,0.7509296179776886,0.0974019182297671,0.9904903152726457,1.0878922335024128
s-9_n-18_cn-4_cm-5.geojson,0.0012372257102998016,0.6121220781326919,0.9398745650794676,0.1515967103742468,1.0914712754537144
s-8_n-16_cn-4_cm-4.geojson,0.001124194445062681,0.6337227630894723,0.814529638444619,0.28214204308386076,1.0966716815284798
s-5_n-10_cn-4_cm-2.geojson,0.0007203061849677834,0.7081088055608469,0.36664166493509376,0.7316995771531176,1.0983412420882113
s-4_n-8_cn-4_cm-2.geojson,0.0006197267621961676,0.7278159518700903,0.2551050883796073,0.8508011693871024,1.1059062577667098
s-6_n-12_cn-8_cm-3.geojson,0.0009138854804573453,0.674436991821207,0.5813095494382234,0.5282014873299219,1.1095110367681453
s-3_n-6_cn-4_cm-2.geojson,0.0005038482889908719,0.752338431295637,0.12660277804975728,0.999004582467658,1.1256073605174153
s-6_n-12_cn-4_cm-3.geojson,0.0009234665994941464,0.6764123501776348,0.5919344385804286,0.5401397112509018,1.1320741498313303
s-8_n-16_cn-8_cm-5.geojson,0.0011953538297859083,0.6283749233710288,0.8934411488024155,0.249821979311867,1.1432631281142824
s-7_n-14_cn-8_cm-4.geojson,0.0010601967953930485,0.6544080393195677,0.7435600647977658,0.4071550356371567,1.1507151004349225
s-3_n-6_cn-8_cm-3.geojson,0.0005347327072573014,0.752503138068911,0.16085175450458553,1.0,1.1608517545045856
s-7_n-14_cn-4_cm-4.geojson,0.0010660118416216417,0.6552388108470217,0.7500086039817888,0.4121758646374481,1.1621844686192369
s-8_n-16_cn-4_cm-5.geojson,0.0011986255645130386,0.6333324809578261,0.8970693073343096,0.2797833442357313,1.1768526515700408
s-3_n-6_cn-4_cm-3.geojson,0.0005586499582433421,0.7513116733431204,0.1873745582957616,0.9927992950523878,1.1801738533481494
s-4_n-8_cn-8_cm-3.geojson,0.0006925176272782728,0.7272749966647964,0.33582581307700043,0.8475318667053874,1.1833576797823877
s-5_n-10_cn-8_cm-3.geojson,0.0008185321652119846,0.7054732367164237,0.47556841419793455,0.715771322453661,1.1913397366515956
s-3_n-6_cn-8_cm-4.geojson,0.0005801447909831829,0.7524661583282231,0.2112110448391225,0.9997765102096863,1.2109875550488087
s-3_n-6_cn-8_cm-5.geojson,0.0006002573305629968,0.7506007141577998,0.23351465077314096,0.9885025607786212,1.2220172115517622
s-3_n-6_cn-4_cm-4.geojson,0.0005951886351206345,0.7517556863912911,0.22789377006350317,0.9954827206574937,1.2233764907209967
s-4_n-8_cn-4_cm-3.geojson,0.000715772007988764,0.7305323789595166,0.3616135332974241,0.8672180968539905,1.2288316301514146
s-6_n-12_cn-8_cm-4.geojson,0.00101523935420613,0.6769981246905677,0.6937049459026252,0.5436798827240125,1.2373848286266376
s-3_n-6_cn-4_cm-5.geojson,0.0006126752605473194,0.7513830373024182,0.24728539393501112,0.9932305884039014,1.2405159823389125
s-5_n-10_cn-4_cm-3.geojson,0.0008275948467642124,0.7124585456916441,0.4856183871137994,0.757987552451653,1.2436059395654524
s-4_n-8_cn-8_cm-4.geojson,0.0007504538583944175,0.7275351858542284,0.40007363533678236,0.8491043392621511,1.2491779745989335
s-6_n-12_cn-4_cm-4.geojson,0.0010197994357891997,0.6791798057612658,0.698761804200015,0.5568650331861575,1.2556268373861725
s-7_n-14_cn-8_cm-5.geojson,0.0011492454487185288,0.6556937755962864,0.8423097062761552,0.4149254776558657,1.2572351839320208
s-7_n-14_cn-4_cm-5.geojson,0.0011491012679376667,0.6573597259408075,0.8421498183959177,0.4249937714362875,1.2671435898322052
s-4_n-8_cn-4_cm-4.geojson,0.0007774685990166711,0.7305472518315812,0.4300313702542165,0.8673079821532718,1.2973393524074883
s-4_n-8_cn-8_cm-5.geojson,0.0007832949843489524,0.7295319457888411,0.4364924838274309,0.8611719051993793,1.29766438902681
s-5_n-10_cn-8_cm-4.geojson,0.00090583883621506,0.7093844523529734,0.5723863012547223,0.7394090426275371,1.3117953438822596
s-5_n-10_cn-4_cm-4.geojson,0.0009113130390341061,0.7117974611222769,0.5784568654415263,0.7539922390979372,1.3324491045394635
s-6_n-12_cn-8_cm-5.geojson,0.0010974035266456625,0.6784403302149297,0.784820108993483,0.5523959581813498,1.3372160671748328
s-4_n-8_cn-4_cm-5.geojson,0.0008105418554916006,0.7318266930401355,0.4667076376367754,0.8750403794632321,1.3417480171000076
s-6_n-12_cn-4_cm-5.geojson,0.0010976423249836065,0.6816144803858009,0.7850849220970727,0.5715791688506295,1.3566640909477021
s-5_n-10_cn-8_cm-5.geojson,0.0009704422205151849,0.7099576833916453,0.6440275984522229,0.7428734066887986,1.3869010051410215
s-5_n-10_cn-4_cm-5.geojson,0.0009718825377596329,0.7140656266526629,0.6456248243078967,0.767700064770927,1.4133248890788237
